Coefficient,Value
e,0.734619521
rmortTB,0
CDRscale,0.440156329
CDRscaleE,-0.032985036
neta,2.335723464
xi,
pchild,0.018845324
padult,0.150089287
pelderly,0.271311844
vchild,0.000132114
vadult,0.000222731
velderly,0.002560163
fchild,0.112669917
fadult,0.747393552
felderly,0.700990745
rchild,0.005674086
radult,0.005670595
relderly,0.010837482
dr_n,
ds_n,
dr_nelderly,0.102686234
ds_nelderly,0.102686234
tau,
omega,0.013876217
x,0.274474501
uiscaleC,1.099815877
uiscaleA,0.152733472
uiscaleE,0.727229626
ui,0.6000
