Year,Births
1900,24446.6322
1901,24446.6322
1902,24446.6322
1903,24446.6322
1904,24446.6322
1905,22851.4862
1906,22851.4862
1907,22851.4862
1908,22851.4862
1909,22851.4862
1910,27509.2264
1911,27509.2264
1912,27509.2264
1913,27509.2264
1914,27509.2264
1915,30381.2096
1916,30381.2096
1917,30381.2096
1918,30381.2096
1919,30381.2096
1920,27443.0276
1921,27443.0276
1922,27443.0276
1923,27443.0276
1924,27443.0276
1925,21454.9462
1926,21454.9462
1927,21454.9462
1928,21454.9462
1929,21454.9462
1930,22300.2018
1931,22300.2018
1932,22300.2018
1933,22300.2018
1934,22300.2018
1935,27950.2522
1936,27950.2522
1937,27950.2522
1938,27950.2522
1939,27950.2522
1940,21613.548
1941,21613.548
1942,21613.548
1943,21613.548
1944,21613.548
1945,16990.3268
1946,16990.3268
1947,16990.3268
1948,16990.3268
1949,16990.3268
1950,24446.6322
1951,24446.6322
1952,24446.6322
1953,24446.6322
1954,24446.6322
1955,22851.4862
1956,22851.4862
1957,22851.4862
1958,22851.4862
1959,22851.4862
1960,27509.2264
1961,27509.2264
1962,27509.2264
1963,27509.2264
1964,27509.2264
1965,30381.2096
1966,30381.2096
1967,30381.2096
1968,30381.2096
1969,30381.2096
1970,27443.0276
1971,27443.0276
1972,27443.0276
1973,27443.0276
1974,27443.0276
1975,21454.9462
1976,21454.9462
1977,21454.9462
1978,21454.9462
1979,21454.9462
1980,22300.2018
1981,22300.2018
1982,22300.2018
1983,22300.2018
1984,22300.2018
1985,27950.2522
1986,27950.2522
1987,27950.2522
1988,27950.2522
1989,27950.2522
1990,21613.548
1991,21613.548
1992,21613.548
1993,21613.548
1994,21613.548
1995,16990.3268
1996,16990.3268
1997,16990.3268
1998,16990.3268
1999,16990.3268
2000,16323.479
2001,16323.479
2002,16323.479
2003,16323.479
2004,16323.479
2005,16830.4962
2006,16830.4962
2007,16830.4962
2008,16830.4962
2009,16830.4962
2010,17403.143
2011,17403.143
2012,17403.143
2013,17403.143
2014,17403.143
2015,16346.0038
2016,16346.0038
2017,16346.0038
2018,16346.0038
2019,16346.0038
2020,14803.8918
2021,14803.8918
2022,14803.8918
2023,14803.8918
2024,14803.8918
2025,13723.5654
2026,13723.5654
2027,13723.5654
2028,13723.5654
2029,13723.5654
2030,13166.7322
2031,13166.7322
2032,13166.7322
2033,13166.7322
2034,13166.7322
2035,12993.5002
2036,12993.5002
2037,12993.5002
2038,12993.5002
2039,12993.5002
2040,12898.5484
2041,12898.5484
2042,12898.5484
2043,12898.5484
2044,12898.5484
2045,12559.418
2046,12559.418
2047,12559.418
2048,12559.418
2049,12559.418
2050,11969.2086
2051,11969.2086
2052,11969.2086
2053,11969.2086
2054,11969.2086
2055,11363.7188
2056,11363.7188
2057,11363.7188
2058,11363.7188
2059,11363.7188
2060,10952.7254
2061,10952.7254
2062,10952.7254
2063,10952.7254
2064,10952.7254
2065,10741.5194
2066,10741.5194
2067,10741.5194
2068,10741.5194
2069,10741.5194
2070,10612.604
2071,10612.604
2072,10612.604
2073,10612.604
2074,10612.604
2075,10411.0634
2076,10411.0634
2077,10411.0634
2078,10411.0634
2079,10411.0634
2080,10103.172
2081,10103.172
2082,10103.172
2083,10103.172
2084,10103.172
2085,9753.7254
2086,9753.7254
2087,9753.7254
2088,9753.7254
2089,9753.7254
2090,9450.9116
2091,9450.9116
2092,9450.9116
2093,9450.9116
2094,9450.9116
2095,9235.7544
2096,9235.7544
2097,9235.7544
2098,9235.7544
2099,9235.7544
