Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99plus
1900,18180.0200,16462.9240,15036.9400,13875.5990,12952.4310,12240.9670,11714.7360,11347.2700,11112.0990,10982.7520,10953.7940,11019.7870,11049.0980,10973.1880,10828.6890,10728.5080,10659.3540,10528.8650,10305.2480,10022.6010,9750.8790,9480.9650,9225.8250,9000.5640,8801.8800,8599.5430,8385.4070,8246.6590,8219.1370,8259.2370,8291.4000,8335.3990,8316.7300,8192.1370,7996.9330,7814.2840,7633.0740,7437.9170,7231.2760,7019.1720,6798.4440,6561.6650,6369.2970,6248.5700,6170.1340,6086.0490,6016.2670,5888.6100,5665.6490,5386.7310,5119.8690,4840.9420,4630.2440,4531.2180,4500.2940,4455.2920,4418.4470,4330.4090,4155.2170,3924.8980,3704.2610,3476.5260,3272.9970,3114.5340,2981.9290,2840.7200,2704.5280,2534.2430,2309.1050,2052.3000,1805.8350,1558.9850,1346.2880,1188.4390,1068.4150,949.2410,839.2030,730.5070,615.8550,501.3520,308.1489,253.9642,206.9953,169.5034,139.4223,112.0938,88.0532,67.8055,51.0051,37.3320,24.6493,16.6318,13.0739,9.2239,5.0818,2.8822,2.3617,1.8037,1.2083,1.2376
1901,21317.7770,17875.2500,16268.3020,14922.6900,13816.1930,12926.5950,12228.0940,11694.8880,11322.6780,11096.4140,10983.1260,10959.6280,11024.2330,11052.0600,10976.2390,10832.5690,10731.4780,10660.1970,10527.7630,10302.8430,10019.2640,9746.2280,9474.7420,9218.1580,8991.6900,8791.9270,8588.3390,8372.7420,8232.6420,8203.9760,8242.9380,8273.7480,8316.3200,8295.3260,8167.1070,7967.3770,7780.2180,7594.4680,7394.4750,7182.7050,6965.3710,6739.4150,6497.2900,6300.5260,6176.8610,6096.4700,6010.0900,5937.5360,5808.0140,5584.5230,5305.5680,5038.3890,4759.6230,4545.2950,4436.8360,4392.8520,4335.3780,4285.8370,4186.9210,4004.1230,3768.5450,3542.7380,3310.5230,3103.2180,2941.5160,2806.5250,2663.9890,2527.1490,2358.9440,2139.5470,1891.0530,1653.4920,1416.5910,1213.3700,1063.5890,950.9240,839.7270,737.6440,638.3980,535.4600,352.0198,290.1209,236.4650,193.6355,159.2718,128.0525,100.5893,77.4589,58.2667,42.6469,28.1586,18.9997,14.9353,10.5371,5.8052,3.2925,2.6979,2.0605,1.3803,1.4138
1902,23503.5440,21038.4030,17417.6040,15934.7870,14681.2180,13639.1330,12790.7660,12111.2040,11575.5360,11201.7340,10986.3270,10890.1080,10872.2850,10934.9490,10961.0510,10885.9640,10744.3470,10643.2030,10570.3960,10437.1370,10212.8220,9930.7190,9658.6870,9387.9330,9132.0840,8906.3310,8707.1840,8504.0730,8288.8440,8148.5810,8119.0100,8156.4980,8185.6910,8226.4700,8203.3220,8072.5580,7869.9870,7679.8960,7491.1730,7288.0300,7072.9180,6852.1860,6622.9080,6377.4820,6177.9810,6052.4220,5970.7540,5882.8080,5808.0890,5677.7980,5455.6780,5179.0560,4913.8320,4637.5980,4421.4510,4304.4540,4247.7470,4178.2540,4116.4010,4007.4170,3818.5460,3579.6960,3350.6260,3115.8920,2906.5640,2742.9880,2606.7530,2464.0970,2327.7700,2163.0820,1951.3090,1713.2630,1486.6520,1261.7420,1069.7530,929.3350,825.0090,722.7580,629.5190,540.5960,382.3196,315.0928,256.8186,210.3025,172.9810,139.0745,109.2474,84.1262,63.2819,46.3177,30.5823,20.6351,16.2208,11.4441,6.3049,3.5759,2.9302,2.2378,1.4991,1.5355
1903,24642.4250,22027.8650,19730.6260,16944.0000,15586.1020,14425.3300,13448.3620,12641.8760,11981.8700,11444.3420,11069.3660,10864.9790,10785.8200,10773.6530,10834.3200,10858.6800,10784.4040,10644.9810,10543.8960,10469.6510,10335.7190,10112.2500,9831.9220,9561.1840,9291.4530,9036.6120,8811.8170,8613.5000,8411.0840,8196.4560,8056.1830,8025.7460,8061.7300,8089.2840,8128.2370,8102.9750,7969.8260,7764.6550,7571.8580,7380.3880,7174.3390,6956.1420,6732.2760,6499.9490,6251.5110,6049.5100,5922.2060,5839.3600,5749.9530,5673.1650,5542.2540,5321.7370,5047.7360,4784.7430,4511.3260,4293.6080,4168.2570,4098.9750,4017.6190,3943.6040,3824.7390,3630.0410,3388.2030,3156.1400,2919.1620,2708.0530,2542.7940,2405.4710,2262.8520,2127.1850,1966.1700,1762.2000,1534.7920,1319.3050,1106.5520,925.9300,794.9650,699.0360,605.7820,521.4320,393.8985,324.6357,264.5965,216.6717,178.2198,143.2865,112.5561,86.6740,65.1985,47.7204,31.5085,21.2600,16.7121,11.7907,6.4959,3.6842,3.0189,2.3056,1.5445,1.5820
1904,24759.8710,22333.3910,20183.1500,18293.9870,16520.9770,15283.5140,14211.7760,13296.8230,12529.7160,11887.2890,11346.3790,10969.1680,10775.1650,10712.7560,10706.1830,10765.0350,10787.7320,10714.0520,10576.4150,10475.0990,10399.2130,10264.2290,10040.9660,9761.6060,9491.3850,9221.9040,8967.3410,8742.8580,8544.8020,8342.5020,8127.8600,7987.1780,7955.7940,7990.3830,8016.3840,8053.6310,8026.1940,7890.2920,7681.9490,7485.9120,7291.1630,7081.6350,6859.7470,6632.1260,6396.1020,6143.9600,5938.8970,5809.4950,5725.2390,5634.1240,5555.0610,5423.1590,5203.6090,4931.4350,4669.9140,4398.5210,4178.6210,4044.6010,3962.6080,3869.2160,3782.8890,3653.8520,3452.8030,3207.3020,2971.6010,2731.7140,2518.2310,2350.8280,2212.0310,2069.0440,1933.6460,1775.8270,1579.0410,1361.5710,1156.5410,955.2790,785.4520,663.5230,575.6750,491.1090,381.6345,314.5282,256.3583,209.9256,172.6710,138.8253,109.0516,83.9754,63.1685,46.2347,30.5275,20.5981,16.1917,11.4236,6.2936,3.5695,2.9249,2.2338,1.4965,1.5327
1905,23935.4300,22071.9070,20366.0960,18813.4170,17409.2880,16149.1300,15028.3600,14042.4000,13186.6680,12456.5830,11829.7470,11283.7620,10903.1350,10718.9190,10673.0830,10672.0900,10729.3100,10750.4110,10677.0970,10540.8180,10438.9560,10361.1890,10224.7310,10000.9770,9721.7130,9451.1650,9181.0930,8926.0130,8701.1410,8502.7280,8299.9110,8084.5860,7943.0540,7910.6230,7943.9240,7968.4520,8004.1080,7974.4080,7835.3260,7623.1570,7423.2630,7224.6240,7010.9590,6784.6830,6552.5910,6312.1310,6055.4930,5846.7240,5714.8160,5628.8860,5535.7780,5454.1880,5320.8820,5101.6150,4830.4210,4569.5560,4299.3410,4076.5690,3933.4530,3838.4790,3732.7470,3633.8250,3494.2040,3286.1680,3036.2340,2796.1550,2552.6060,2336.0810,2166.0080,2025.3030,1881.4990,1745.9490,1590.8360,1400.6270,1192.4260,997.2210,806.8340,647.2830,534.0170,453.9850,341.2669,281.2588,229.2419,187.7206,154.4066,124.1410,97.5166,75.0929,56.4868,41.3442,27.2984,18.4193,14.4791,10.2152,5.6279,3.1919,2.6155,1.9975,1.3382,1.3706
1906,22136.4850,23118.3310,21542.6150,20038.0040,18613.1160,17276.5720,16024.8670,14854.4960,13834.6970,12998.3370,12317.6640,11710.0550,11165.6280,10785.5030,10603.1730,10559.6350,10558.0140,10612.4340,10631.2490,10557.1970,10421.1600,10318.8200,10240.0900,10103.3790,9880.4760,9602.7570,9333.5330,9064.6100,8810.7010,8586.9850,8389.5480,8187.6090,7973.2920,7831.2190,7795.9460,7824.9480,7845.2720,7876.4610,7843.1410,7701.9800,7488.7460,7287.3810,7086.9170,6872.0520,6645.4680,6413.4580,6172.9180,5916.4110,5705.8750,5569.2840,5476.7990,5377.2380,5288.7930,5149.5990,4926.2570,4652.0810,4388.1450,4115.4650,3888.6740,3738.9380,3636.0790,3523.2770,3417.3250,3274.0290,3067.4160,2822.3430,2587.5610,2350.8320,2139.5070,1971.3090,1830.9670,1688.9340,1555.2530,1406.8590,1230.6450,1041.0890,864.0830,692.4110,549.7120,449.7130,360.1483,296.8201,241.9252,198.1067,162.9495,131.0093,102.9120,79.2476,59.6121,43.6316,28.8088,19.4384,15.2801,10.7804,5.9393,3.3685,2.7602,2.1080,1.4122,1.4464
1907,20088.6460,20171.5970,22465.3440,21165.1010,19850.2760,18542.6830,17264.1350,16012.1740,14784.3420,13723.8110,12900.9370,12264.7190,11672.0340,11125.3890,10743.1300,10561.4140,10519.8620,10517.6060,10569.6160,10586.2860,10510.9880,10374.2490,10270.7250,10190.4920,10052.5830,9828.9830,9550.8790,9281.1070,9011.4660,8756.9650,8532.8490,8335.0170,8132.5520,7917.7550,7774.1600,7735.8160,7760.7410,7777.0220,7803.9810,7766.8280,7622.6220,7406.8510,7202.6290,6998.9610,6781.4130,6552.9540,6319.4210,6077.1350,5818.9820,5605.2310,5463.0330,5363.3850,5256.7150,5160.8350,5014.8180,4785.8750,4506.8350,4238.0150,3960.9950,3728.6340,3571.2740,3459.8570,3339.2380,3225.5590,3077.6120,2870.9850,2629.0520,2397.9150,2166.3320,1958.7200,1791.2230,1650.2710,1509.0160,1376.2690,1233.5340,1070.0250,897.7100,737.5870,583.3490,456.4290,364.6599,300.5383,244.9558,200.5884,164.9908,132.6505,104.2012,80.2403,60.3589,44.1782,29.1697,19.6819,15.4716,10.9155,6.0137,3.4107,2.7948,2.1345,1.4299,1.4645
1908,18167.0820,19245.3330,19853.6860,21866.9550,20840.1040,19712.5590,18519.4420,17295.8770,16040.4520,14751.7530,13647.5870,12836.1520,12242.9600,11663.7490,11113.4740,10728.0930,10546.5280,10506.8650,10503.9630,10553.6870,10568.2440,10491.5010,10353.7070,10248.7290,10166.7800,10027.3150,9802.4420,9523.2370,9252.2250,8981.1710,8725.4230,8500.3320,8301.5950,8098.0840,7882.2540,7736.7620,7695.2340,7716.1270,7728.3890,7751.1690,7710.0710,7562.4360,7343.5630,7135.9470,6928.5390,6707.7380,6476.8110,6241.1480,5996.4880,5736.0200,5518.4930,5370.2980,5263.1990,5149.1130,5045.5200,4892.2750,4657.1190,4372.4760,4098.0630,3815.9720,3577.4200,3411.9990,3291.6990,3162.9200,3041.1850,2888.1890,2681.0190,2441.6200,2213.5510,1986.5460,1782.1310,1614.9090,1472.9820,1332.1480,1199.9990,1062.5820,911.4160,755.9790,612.4060,475.2860,352.3264,290.3736,236.6710,193.8041,159.4105,128.1640,100.6769,77.5264,58.3174,42.6840,28.1831,19.0163,14.9483,10.5463,5.8103,3.2954,2.7003,2.0623,1.3815,1.4150
1909,16859.8750,18599.5950,19741.2890,20351.2430,21233.6590,20483.2330,19545.6550,18469.3840,17302.8790,16045.7780,14697.7230,13551.2650,12752.5030,12203.4370,11638.6100,11085.4780,10697.5130,10516.3610,10478.6540,10475.1090,10522.4610,10534.8720,10456.7870,10318.1290,10211.8400,10128.2840,9987.4550,9761.6260,9481.7170,9209.8470,8937.7630,8681.1290,8455.3820,8256.0220,8051.7520,7835.1930,7688.0030,7643.3330,7660.1420,7668.3440,7686.8880,7641.8810,7491.0110,7269.3340,7058.6040,6847.7340,6623.9810,6390.9040,6153.4390,5906.7430,5644.3230,5423.3090,5269.2980,5154.8590,5033.4820,4922.2800,4761.9870,4520.9210,4231.0550,3951.4110,3664.6270,3420.1930,3246.9030,3117.8430,2981.0430,2851.3830,2693.5280,2486.1100,2249.6040,2024.9510,1802.8750,1601.9710,1435.2660,1292.5640,1152.3550,1020.9980,889.1270,750.5940,612.3540,485.6320,320.5353,264.1727,215.3157,176.3168,145.0266,116.5995,91.5926,70.5311,53.0553,38.8326,25.6401,17.3004,13.5995,9.5947,5.2860,2.9980,2.4566,1.8762,1.2569,1.2873
