country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_inc_num_f014,e_inc_num_f014_lo,e_inc_num_f014_hi,e_inc_num_f15plus,e_inc_num_f15plus_lo,e_inc_num_f15plus_hi,e_inc_num_f,e_inc_num_f_lo,e_inc_num_f_hi,e_inc_num_m014,e_inc_num_m014_lo,e_inc_num_m014_hi,e_inc_num_m15plus,e_inc_num_m15plus_lo,e_inc_num_m15plus_hi,e_inc_num_m,e_inc_num_m_lo,e_inc_num_m_hi,e_inc_num_014,e_inc_num_014_lo,e_inc_num_014_hi,e_inc_num_15plus,e_inc_num_15plus_lo,e_inc_num_15plus_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi
China,CN,CHN,156,WPR,2000,1283198970,109,82,140,1400000,1050000,1800000,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.59,2.2,1.4,0.59,2.5,18000,7500,32000,8.7,6.7,11,112000,86000,141000,0.75,0.31,1.4,9700,4000,18000,9.5,7.4,12,122000,95000,152000,,,,35,33,25,43
China,CN,CHN,156,WPR,2001,1290937649,105,80,134,1360000,1030000,1730000,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.56,2,1.2,0.55,2.1,16000,7100,28000,8,6.4,9.7,103000,83000,126000,0.65,0.28,1.2,8300,3600,15000,8.6,7,10,112000,91000,135000,,,,36,35,27,46
China,CN,CHN,156,WPR,2002,1298646577,102,78,128,1320000,1020000,1660000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.55,1.8,1.1,0.52,2,15000,6800,25000,7.3,6.2,8.5,95000,81000,111000,0.59,0.27,1,7700,3500,14000,7.9,6.7,9.2,103000,88000,120000,,,,36,35,28,45
China,CN,CHN,156,WPR,2003,1306343911,98,77,122,1280000,1000000,1600000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.54,1.8,1,0.5,1.8,14000,6500,23000,6.7,6.1,7.4,88000,79000,97000,0.46,0.21,0.79,6000,2700,10000,7.2,6.5,7.9,94000,85000,104000,,,,47,48,39,61
China,CN,CHN,156,WPR,2004,1314007478,95,76,117,1250000,993000,1540000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.55,1.8,1,0.49,1.7,13000,6500,23000,5.4,4.8,6,71000,63000,79000,0.33,0.15,0.57,4300,2000,7400,5.7,5.1,6.4,75000,67000,84000,,,,61,64,52,80
China,CN,CHN,156,WPR,2005,1321623490,92,74,111,1210000,982000,1470000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.56,1.8,1,0.49,1.7,13000,6500,22000,5.5,4.9,6.1,73000,65000,80000,0.25,0.12,0.43,3300,1500,5600,5.7,5.1,6.4,76000,68000,84000,,,,68,74,61,92
China,CN,CHN,156,WPR,2006,1329209094,89,73,106,1180000,973000,1410000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.57,1.8,0.98,0.49,1.6,13000,6500,22000,5.1,4.6,5.6,68000,61000,75000,0.22,0.1,0.38,3000,1400,5100,5.3,4.8,5.9,71000,63000,78000,,,,71,80,67,97
China,CN,CHN,156,WPR,2007,1336800506,86,72,101,1150000,964000,1350000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.57,1.8,0.95,0.47,1.6,13000,6300,21000,4.6,4.1,5.1,62000,55000,68000,0.18,0.08,0.31,2400,1100,4200,4.8,4.3,5.3,64000,57000,71000,,,,73,85,73,100
China,CN,CHN,156,WPR,2008,1344415227,83,71,96,1120000,960000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.56,1.8,0.92,0.46,1.5,12000,6100,21000,4.2,3.7,4.6,56000,50000,62000,0.16,0.07,0.29,2200,1000,3900,4.3,3.9,4.8,58000,52000,64000,,,,73,87,75,100
China,CN,CHN,156,WPR,2009,1352068091,82,70,95,1110000,950000,1280000,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.55,1.8,0.89,0.44,1.5,12000,5900,20000,4.1,3.6,4.5,55000,49000,61000,0.16,0.07,0.28,2100,960,3800,4.2,3.8,4.7,57000,51000,63000,,,,71,87,75,100
