country,iso2,iso3,iso_numeric,g_whoregion,year,rep_meth,new_sp_coh,new_sp_cur,new_sp_cmplt,new_sp_died,new_sp_fail,new_sp_def,c_new_sp_tsr,new_snep_coh,new_snep_cmplt,new_snep_died,new_snep_fail,new_snep_def,c_new_snep_tsr,ret_coh,ret_cur,ret_cmplt,ret_died,ret_fail,ret_def,hiv_new_sp_coh,hiv_new_sp_cur,hiv_new_sp_cmplt,hiv_new_sp_died,hiv_new_sp_fail,hiv_new_sp_def,hiv_new_snep_coh,hiv_new_snep_cmplt,hiv_new_snep_died,hiv_new_snep_fail,hiv_new_snep_def,hiv_ret_coh,hiv_ret_cur,hiv_ret_cmplt,hiv_ret_died,hiv_ret_fail,hiv_ret_def,rel_with_new_flg,newrel_coh,newrel_succ,newrel_fail,newrel_died,newrel_lost,c_new_tsr,ret_nrel_coh,ret_nrel_succ,ret_nrel_fail,ret_nrel_died,ret_nrel_lost,c_ret_tsr,tbhiv_coh,tbhiv_succ,tbhiv_fail,tbhiv_died,tbhiv_lost,c_tbhiv_tsr,mdr_coh,mdr_succ,mdr_fail,mdr_died,mdr_lost,xdr_coh,xdr_succ,xdr_fail,xdr_died,xdr_lost
China,CN,CHN,156,WPR,1994,100,96487,86727,1013,1898,3241,2139,91,,,,,,,45712,39506,1215,1346,2108,938,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,89,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,1995,100,131413,94006,28512,2240,1223,1905,93,,,,,,,54052,48684,1232,1336,1718,580,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,92,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,1996,100,174506,116987,46722,2582,4095,2143,94,,,,,,,51628,47778,944,1007,1083,522,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,94,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,1997,100,189289,179594,,2578,3272,1981,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,1998,100,210096,200603,,2561,2838,2091,95,,,,,,,49378,47041,,833,823,379,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,95,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,1999,100,207990,197973,,2412,3491,1995,95,,,,,,,43638,40577,1072,715,650,363,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,95,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2000,100,213766,199190,,2234,3487,2346,93,,,,,,,43252,37404,936,498,492,274,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,89,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2001,100,190500,176779,4887,2187,1660,2057,95,,,,,,,37809,32814,2047,755,842,596,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,92,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2002,100,193920,173844,5515,2460,1711,2116,92,,,,,,,46932,39035,2427,1206,1791,952,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,88,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2003,100,267414,239887,7584,3748,2735,2932,93,,,,,,,78265,64510,4800,2012,2599,1507,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,89,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2004,100,384886,350710,10029,6574,3889,3854,94,258981,230011,2623,526,5855,89,108531,90663,5982,2853,2959,1742,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,89,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2005,100,472719,434953,9180,7822,4182,3728,94,315076,279375,3209,624,5702,89,89239,75479,4459,2299,2237,1158,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,90,,,,,,,,,,,,,,,,
China,CN,CHN,156,WPR,2006,100,470436,435034,7828,7045,3696,3013,94,376860,340040,4601,619,4829,90,78146,66044,3665,1811,1745,905,34,21,1,9,0,1,69,36,14,0,5,5,3,,2,,,,,,,,,92,,,,,,89,,,,,,56,,,,,,,,,,
China,CN,CHN,156,WPR,2007,100,465877,431113,8289,6523,3406,2836,94,422965,383367,4938,775,5175,91,70163,59210,3513,1586,1492,786,433,288,25,62,5,20,1050,684,132,6,58,40,26,2,6,2,2,,,,,,,93,,,,,,89,,,,,,67,,,,,,,,,,
China,CN,CHN,156,WPR,2008,100,464151,428575,8909,5990,3116,2675,94,467969,425332,4658,811,5439,91,64023,54584,2841,1366,1195,644,441,290,50,65,6,11,2268,1729,149,6,70,139,20,45,41,13,6,,,,,,,93,,,,,,90,,,,,,75,13,6,5,0,1,0,0,0,0,0
China,CN,CHN,156,WPR,2009,100,449039,419712,7696,5433,3129,2273,95,473482,436364,4153,974,3898,92,59853,51754,2318,1190,1469,533,2503,1973,62,108,19,52,3108,1975,202,10,115,342,300,13,12,4,5,,,,,,,94,,,,,,90,,,,,,73,260,120,64,22,20,0,0,0,0,0
China,CN,CHN,156,WPR,2010,100,429790,403594,7299,4929,2518,2139,96,447449,420887,3710,809,3383,94,54469,47100,1980,1159,969,471,899,684,38,90,13,38,2046,1517,32,1,35,110,88,6,10,4,2,,,,,,,95,,,,,,90,,,,,,76,1222,511,201,89,102,,,,,
China,CN,CHN,156,WPR,2011,100,377005,353238,6800,4353,2918,1956,95,479486,456696,3760,993,3331,95,46825,40538,1717,1007,1497,375,1407,1192,39,101,14,17,3089,2599,209,10,84,148,112,4,14,4,5,,,,,,,95,,,,,,90,,,,,,85,1070,534,219,90,88,61,15,19,15,3
China,CN,CHN,156,WPR,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,885237,843308,3512,8722,4921,95,9822,8868,254,212,92,90,5866,2780,16,263,59,47,1906,805,147,103,85,115,15,19,18,6
China,CN,CHN,156,WPR,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,841999,799489,3475,8640,4403,95,7847,7085,208,152,79,90,4649,3789,9,247,72,82,2184,1212,196,156,161,159,35,12,30,9
China,CN,CHN,156,WPR,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,817318,771134,3489,8225,4533,94,6679,5865,214,145,101,88,2169,1855,8,165,22,86,2846,1166,182,167,255,135,43,15,20,8
China,CN,CHN,156,WPR,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,798281,749046,3606,8890,5088,94,5739,4781,194,133,102,83,2444,2137,13,163,22,87,,,,,,,,,,
