Year,Age0,Age1,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80
2008,0.13,0.12,0.09,0.11,0.3,0.7,0.85,0.92,1.55,2.49,2.86,3.24,6.05,8.56,13.55,20.39,28.12,30.47
2009,0,0.28,0.07,0.25,0.47,0.57,1,1.39,1.58,1.8,2.49,3.36,4.85,7.03,13.07,18.44,25.05,36.64
2010,0.77,0.23,0,0.29,0.34,0.8,0.95,1.15,1.44,2.02,2.4,3.06,3.88,6.9,12.3,15.74,22.34,39.27
2011,0.21,0.06,0.1,0.23,0.4,0.54,0.71,1.27,1.13,1.51,2.33,2.89,4.19,7.72,10.08,14.02,20.82,31.47
2012,0.13,0.17,0.02,0.05,0.31,0.58,0.87,0.8,1.15,1.64,2.08,3.37,3.99,6.88,10.06,15.08,21.34,24.67
2013,0.38,0.1,0.08,0.13,0.35,0.4,0.54,0.73,0.9,1.42,1.48,2.6,3.2,5.12,9.02,12.92,15.89,20.72
2014,0.18,0.1,0.02,0.08,0.22,0.35,0.57,0.72,1,1.13,1.51,2.38,2.8,4.38,7.76,11.42,15.45,18.35
2015,0.21,0.07,0.02,0.06,0.24,0.35,0.57,0.85,0.83,1.15,1.39,2.51,2.62,4.48,8.2,10.75,15.59,20.26
,,,,,,,,,,,,,,,,,,
Avg,0.25125,0.14125,0.05,0.15,0.32875,0.53625,0.7575,0.97875,1.1975,1.645,2.0675,2.92625,3.9475,6.38375,10.505,14.845,20.575,27.73125
