Year,A0_14,A15_64,A65_+,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99plus
1950,188730.294,341131.487,24557.4939,18180.02,16462.924,15036.94,13875.599,12952.431,12240.967,11714.736,11347.27,11112.099,10982.752,10953.794,11019.787,11049.098,10973.188,10828.689,10728.508,10659.354,10528.865,10305.248,10022.601,9750.879,9480.965,9225.825,9000.564,8801.88,8599.543,8385.407,8246.659,8219.137,8259.237,8291.4,8335.399,8316.73,8192.137,7996.933,7814.284,7633.074,7437.917,7231.276,7019.172,6798.444,6561.665,6369.297,6248.57,6170.134,6086.049,6016.267,5888.61,5665.649,5386.731,5119.869,4840.942,4630.244,4531.218,4500.294,4455.292,4418.447,4330.409,4155.217,3924.898,3704.261,3476.526,3272.997,3114.534,2981.929,2840.72,2704.528,2534.243,2309.105,2052.3,1805.835,1558.985,1346.288,1188.439,1068.415,949.241,839.203,730.507,615.855,501.352,308.1489,253.9642,206.9953,169.5034,139.4223,112.0938,88.0532,67.8055,51.0051,37.332,24.6493,16.6318,13.0739,9.2239,5.0818,2.8822,2.3617,1.8037,1.2083,1.2376
1951,198464.167,345982.698,25164.2102,21317.777,17875.25,16268.302,14922.69,13816.193,12926.595,12228.094,11694.888,11322.678,11096.414,10983.126,10959.628,11024.233,11052.06,10976.239,10832.569,10731.478,10660.197,10527.763,10302.843,10019.264,9746.228,9474.742,9218.158,8991.69,8791.927,8588.339,8372.742,8232.642,8203.976,8242.938,8273.748,8316.32,8295.326,8167.107,7967.377,7780.218,7594.468,7394.475,7182.705,6965.371,6739.415,6497.29,6300.526,6176.861,6096.47,6010.09,5937.536,5808.014,5584.523,5305.568,5038.389,4759.623,4545.295,4436.836,4392.852,4335.378,4285.837,4186.921,4004.123,3768.545,3542.738,3310.523,3103.218,2941.516,2806.525,2663.989,2527.149,2358.944,2139.547,1891.053,1653.492,1416.591,1213.37,1063.589,950.924,839.727,737.644,638.398,535.46,352.0198,290.1209,236.465,193.6355,159.2718,128.0525,100.5893,77.4589,58.2667,42.6469,28.1586,18.9997,14.9353,10.5371,5.8052,3.2925,2.6979,2.0605,1.3803,1.4138
1952,208538.649,348179.498,25311.1539,23503.544,21038.403,17417.604,15934.787,14681.218,13639.133,12790.766,12111.204,11575.536,11201.734,10986.327,10890.108,10872.285,10934.949,10961.051,10885.964,10744.347,10643.203,10570.396,10437.137,10212.822,9930.719,9658.687,9387.933,9132.084,8906.331,8707.184,8504.073,8288.844,8148.581,8119.01,8156.498,8185.691,8226.47,8203.322,8072.558,7869.987,7679.896,7491.173,7288.03,7072.918,6852.186,6622.908,6377.482,6177.981,6052.422,5970.754,5882.808,5808.089,5677.798,5455.678,5179.056,4913.832,4637.598,4421.451,4304.454,4247.747,4178.254,4116.401,4007.417,3818.546,3579.696,3350.626,3115.892,2906.564,2742.988,2606.753,2464.097,2327.77,2163.082,1951.309,1713.263,1486.652,1261.742,1069.753,929.335,825.009,722.758,629.519,540.596,382.3196,315.0928,256.8186,210.3025,172.981,139.0745,109.2474,84.1262,63.2819,46.3177,30.5823,20.6351,16.2208,11.4441,6.3049,3.5759,2.9302,2.2378,1.4991,1.5355
1953,217200.936,350151.046,25215.8791,24642.425,22027.865,19730.626,16944,15586.102,14425.33,13448.362,12641.876,11981.87,11444.342,11069.366,10864.979,10785.82,10773.653,10834.32,10858.68,10784.404,10644.981,10543.896,10469.651,10335.719,10112.25,9831.922,9561.184,9291.453,9036.612,8811.817,8613.5,8411.084,8196.456,8056.183,8025.746,8061.73,8089.284,8128.237,8102.975,7969.826,7764.655,7571.858,7380.388,7174.339,6956.142,6732.276,6499.949,6251.511,6049.51,5922.206,5839.36,5749.953,5673.165,5542.254,5321.737,5047.736,4784.743,4511.326,4293.608,4168.257,4098.975,4017.619,3943.604,3824.739,3630.041,3388.203,3156.14,2919.162,2708.053,2542.794,2405.471,2262.852,2127.185,1966.17,1762.2,1534.792,1319.305,1106.552,925.93,794.965,699.036,605.782,521.432,393.8985,324.6357,264.5965,216.6717,178.2198,143.2865,112.5561,86.674,65.1985,47.7204,31.5085,21.26,16.7121,11.7907,6.4959,3.6842,3.0189,2.3056,1.5445,1.582
1954,223810.145,353128.396,25032.677,24759.871,22333.391,20183.15,18293.987,16520.977,15283.514,14211.776,13296.823,12529.716,11887.289,11346.379,10969.168,10775.165,10712.756,10706.183,10765.035,10787.732,10714.052,10576.415,10475.099,10399.213,10264.229,10040.966,9761.606,9491.385,9221.904,8967.341,8742.858,8544.802,8342.502,8127.86,7987.178,7955.794,7990.383,8016.384,8053.631,8026.194,7890.292,7681.949,7485.912,7291.163,7081.635,6859.747,6632.126,6396.102,6143.96,5938.897,5809.495,5725.239,5634.124,5555.061,5423.159,5203.609,4931.435,4669.914,4398.521,4178.621,4044.601,3962.608,3869.216,3782.889,3653.852,3452.803,3207.302,2971.601,2731.714,2518.231,2350.828,2212.031,2069.044,1933.646,1775.827,1579.041,1361.571,1156.541,955.279,785.452,663.523,575.675,491.109,381.6345,314.5282,256.3583,209.9256,172.671,138.8253,109.0516,83.9754,63.1685,46.2347,30.5275,20.5981,16.1917,11.4236,6.2936,3.5695,2.9249,2.2338,1.4965,1.5327
1955,228867.925,357164.611,24801.8599,23935.43,22071.907,20366.096,18813.417,17409.288,16149.13,15028.36,14042.4,13186.668,12456.583,11829.747,11283.762,10903.135,10718.919,10673.083,10672.09,10729.31,10750.411,10677.097,10540.818,10438.956,10361.189,10224.731,10000.977,9721.713,9451.165,9181.093,8926.013,8701.141,8502.728,8299.911,8084.586,7943.054,7910.623,7943.924,7968.452,8004.108,7974.408,7835.326,7623.157,7423.263,7224.624,7010.959,6784.683,6552.591,6312.131,6055.493,5846.724,5714.816,5628.886,5535.778,5454.188,5320.882,5101.615,4830.421,4569.556,4299.341,4076.569,3933.453,3838.479,3732.747,3633.825,3494.204,3286.168,3036.234,2796.155,2552.606,2336.081,2166.008,2025.303,1881.499,1745.949,1590.836,1400.627,1192.426,997.221,806.834,647.283,534.017,453.985,341.2669,281.2588,229.2419,187.7206,154.4066,124.141,97.5166,75.0929,56.4868,41.3442,27.2984,18.4193,14.4791,10.2152,5.6279,3.1919,2.6155,1.9975,1.3382,1.3706
1956,237019.543,357629.081,24948.9227,22136.485,23118.331,21542.615,20038.004,18613.116,17276.572,16024.867,14854.496,13834.697,12998.337,12317.664,11710.055,11165.628,10785.503,10603.173,10559.635,10558.014,10612.434,10631.249,10557.197,10421.16,10318.82,10240.09,10103.379,9880.476,9602.757,9333.533,9064.61,8810.701,8586.985,8389.548,8187.609,7973.292,7831.219,7795.946,7824.948,7845.272,7876.461,7843.141,7701.98,7488.746,7287.381,7086.917,6872.052,6645.468,6413.458,6172.918,5916.411,5705.875,5569.284,5476.799,5377.238,5288.793,5149.599,4926.257,4652.081,4388.145,4115.465,3888.674,3738.938,3636.079,3523.277,3417.325,3274.029,3067.416,2822.343,2587.561,2350.832,2139.507,1971.309,1830.967,1688.934,1555.253,1406.859,1230.645,1041.089,864.083,692.411,549.712,449.713,360.1483,296.8201,241.9252,198.1067,162.9495,131.0093,102.912,79.2476,59.6121,43.6316,28.8088,19.4384,15.2801,10.7804,5.9393,3.3685,2.7602,2.108,1.4122,1.4464
1957,242774.318,360658.821,25118.2661,20088.646,20171.597,22465.344,21165.101,19850.276,18542.683,17264.135,16012.174,14784.342,13723.811,12900.937,12264.719,11672.034,11125.389,10743.13,10561.414,10519.862,10517.606,10569.616,10586.286,10510.988,10374.249,10270.725,10190.492,10052.583,9828.983,9550.879,9281.107,9011.466,8756.965,8532.849,8335.017,8132.552,7917.755,7774.16,7735.816,7760.741,7777.022,7803.981,7766.828,7622.622,7406.851,7202.629,6998.961,6781.413,6552.954,6319.421,6077.135,5818.982,5605.231,5463.033,5363.385,5256.715,5160.835,5014.818,4785.875,4506.835,4238.015,3960.995,3728.634,3571.274,3459.857,3339.238,3225.559,3077.612,2870.985,2629.052,2397.915,2166.332,1958.72,1791.223,1650.271,1509.016,1376.269,1233.534,1070.025,897.71,737.587,583.349,456.429,364.6599,300.5383,244.9558,200.5884,164.9908,132.6505,104.2012,80.2403,60.3589,44.1782,29.1697,19.6819,15.4716,10.9155,6.0137,3.4107,2.7948,2.1345,1.4299,1.4645
1958,247797.165,364896.368,25160.0761,18167.082,19245.333,19853.686,21866.955,20840.104,19712.559,18519.442,17295.877,16040.452,14751.753,13647.587,12836.152,12242.96,11663.749,11113.474,10728.093,10546.528,10506.865,10503.963,10553.687,10568.244,10491.501,10353.707,10248.729,10166.78,10027.315,9802.442,9523.237,9252.225,8981.171,8725.423,8500.332,8301.595,8098.084,7882.254,7736.762,7695.234,7716.127,7728.389,7751.169,7710.071,7562.436,7343.563,7135.947,6928.539,6707.738,6476.811,6241.148,5996.488,5736.02,5518.493,5370.298,5263.199,5149.113,5045.52,4892.275,4657.119,4372.476,4098.063,3815.972,3577.42,3411.999,3291.699,3162.92,3041.185,2888.189,2681.019,2441.62,2213.551,1986.546,1782.131,1614.909,1472.982,1332.148,1199.999,1062.582,911.416,755.979,612.406,475.286,352.3264,290.3736,236.671,193.8041,159.4105,128.164,100.6769,77.5264,58.3174,42.684,28.1831,19.0163,14.9483,10.5463,5.8103,3.2954,2.7003,2.0623,1.3815,1.415
1959,253476.128,369157.249,24922.5859,16859.875,18599.595,19741.289,20351.243,21233.659,20483.233,19545.655,18469.384,17302.879,16045.778,14697.723,13551.265,12752.503,12203.437,11638.61,11085.478,10697.513,10516.361,10478.654,10475.109,10522.461,10534.872,10456.787,10318.129,10211.84,10128.284,9987.455,9761.626,9481.717,9209.847,8937.763,8681.129,8455.382,8256.022,8051.752,7835.193,7688.003,7643.333,7660.142,7668.344,7686.888,7641.881,7491.011,7269.334,7058.604,6847.734,6623.981,6390.904,6153.439,5906.743,5644.323,5423.309,5269.298,5154.859,5033.482,4922.28,4761.987,4520.921,4231.055,3951.411,3664.627,3420.193,3246.903,3117.843,2981.043,2851.383,2693.528,2486.11,2249.604,2024.951,1802.875,1601.971,1435.266,1292.564,1152.355,1020.998,889.127,750.594,612.354,485.632,320.5353,264.1727,215.3157,176.3168,145.0266,116.5995,91.5926,70.5311,53.0553,38.8326,25.6401,17.3004,13.5995,9.5947,5.286,2.998,2.4566,1.8762,1.2569,1.2873
