"","t",""
"1",1900,0.400727188306181
"2",1901,0.400727188306181
"3",1902,0.400727188306181
"4",1903,0.400727188306181
"5",1904,0.400727188306181
"6",1905,0.400727188306181
"7",1906,0.400727188306181
"8",1907,0.400727188306181
"9",1908,0.400727188306181
"10",1909,0.400727188306181
"11",1910,0.400727188306181
"12",1911,0.400727188306181
"13",1912,0.400727188306181
"14",1913,0.400727188306181
"15",1914,0.400727188306181
"16",1915,0.400727188306181
"17",1916,0.400727188306181
"18",1917,0.400727188306181
"19",1918,0.400727188306181
"20",1919,0.400727188306181
"21",1920,0.400727188306181
"22",1921,0.400727188306181
"23",1922,0.400727188306181
"24",1923,0.400727188306181
"25",1924,0.400727188306181
"26",1925,0.400727188306181
"27",1926,0.400727188306181
"28",1927,0.400727188306181
"29",1928,0.400727188306181
"30",1929,0.400727188306181
"31",1930,0.400727188306181
"32",1931,0.400727188306181
"33",1932,0.400727188306181
"34",1933,0.400727188306181
"35",1934,0.400727188306181
"36",1935,0.400727188306181
"37",1936,0.400727188306181
"38",1937,0.400727188306181
"39",1938,0.400727188306181
"40",1939,0.400727188306181
"41",1940,0.400727188306181
"42",1941,0.400727188306181
"43",1942,0.400727188306181
"44",1943,0.400727188306181
"45",1944,0.400727188306181
"46",1945,0.400727188306181
"47",1946,0.400727188306181
"48",1947,0.400727188306181
"49",1948,0.400727188306181
"50",1949,0.400727188306181
"51",1950,0.400727188306181
"52",1951,0.400727188306181
"53",1952,0.400727188306181
"54",1953,0.400727188306181
"55",1954,0.400727188306181
"56",1955,0.400727188306181
"57",1956,0.400727188306181
"58",1957,0.400727188306181
"59",1958,0.400727188306181
"60",1959,0.400727188306181
"61",1960,0.400727188306181
"62",1961,0.400727188306181
"63",1962,0.400727188306181
"64",1963,0.400727188306181
"65",1964,0.400727188306181
"66",1965,0.400727188306181
"67",1966,0.400727188306181
"68",1967,0.400727188306181
"69",1968,0.400727188306181
"70",1969,0.400727188306181
"71",1970,0.400727188306181
"72",1971,0.400876876736944
"73",1972,0.40105730843218
"74",1973,0.401274766006566
"75",1974,0.401536801705366
"76",1975,0.401852487516865
"77",1976,0.402232711622428
"78",1977,0.402690528422719
"79",1978,0.403241569867185
"80",1979,0.403904525983162
"81",1980,0.404701702120695
"82",1981,0.405659659165507
"83",1982,0.406809940354557
"84",1983,0.408189883709344
"85",1984,0.409843511621675
"86",1985,0.411822477685646
"87",1986,0.414187034137191
"88",1987,0.417006959751766
"89",1988,0.420362356321749
"90",1989,0.424344180905906
"91",1990,0.429054331112024
"92",1991,0.434605044255249
"93",1992,0.44111731475364
"94",1993,0.448717989837617
"95",1994,0.457535191423941
"96",1995,0.467691759864906
"97",1996,0.479296556991988
"98",1997,0.49243373322189
"99",1998,0.507150471480913
"100",1999,0.523444246265209
"101",2000,0.541251196393166
"102",2001,0.560437652957027
"103",2002,0.580796989380051
"104",2003,0.602053582437445
"105",2004,0.623874715389551
"106",2005,0.645889837852819
"107",2006,0.667715058539385
"108",2007,0.68897954774174
"109",2008,0.70935006971855
"110",2009,0.728550312475844
"111",2010,0.746372875587125
"112",2011,0.762683314079885
"113",2012,0.777417056375035
"114",2013,0.790570977933889
"115",2014,0.802191796407434
"116",2015,0.812363333195063
"117",2016,0.821194245663688
"118",2017,0.828807274372146
"119",2018,0.835330523150976
"120",2019,0.840890880429144
"121",2020,0.845609421376426
"122",2021,0.849598487530258
"123",2022,0.85296009189519
"124",2023,0.855785309247842
"125",2024,0.858154355441813
"126",2025,0.860137115934455
"127",2026,0.86179394021939
"128",2027,0.863176568868052
"129",2028,0.864329100913258
"130",2029,0.865288941131416
"131",2030,0.866087690371534
"132",2031,0.866751958876189
"133",2032,0.867304094029759
"134",2033,0.867762821485901
"135",2034,0.868143803271136
"136",2035,0.868460119097137
"137",2036,0.868722678389622
"138",2037,0.868940570929571
"139",2038,0.8691213638377
"140",2039,0.869271352147051
"141",2040,0.8693957695565
"142",2041,0.869498965241008
"143",2042,0.869584551875863
"144",2043,0.869655529349297
"145",2044,0.869714388010929
"146",2045,0.869763194741332
"147",2046,0.869803664632478
"148",2047,0.869837220637614
"149",2048,0.869865043177424
"150",2049,0.869888111371444
"151",2050,0.869907237293354
"152",2051,0.869888111371444
"153",2052,0.869888111371444
"154",2053,0.869888111371444
"155",2054,0.869888111371444
"156",2055,0.869888111371444
"157",2056,0.869888111371444
"158",2057,0.869888111371444
"159",2058,0.869888111371444
"160",2059,0.869888111371444
"161",2060,0.869888111371444
"162",2061,0.869888111371444
"163",2062,0.869888111371444
"164",2063,0.869888111371444
"165",2064,0.869888111371444
"166",2065,0.869888111371444
"167",2066,0.869888111371444
"168",2067,0.869888111371444
"169",2068,0.869888111371444
"170",2069,0.869888111371444
"171",2070,0.869888111371444
"172",2071,0.869888111371444
"173",2072,0.869888111371444
"174",2073,0.869888111371444
"175",2074,0.869888111371444
"176",2075,0.869888111371444
"177",2076,0.869888111371444
"178",2077,0.869888111371444
"179",2078,0.869888111371444
"180",2079,0.869888111371444
"181",2080,0.869888111371444
"182",2081,0.869888111371444
"183",2082,0.869888111371444
"184",2083,0.869888111371444
"185",2084,0.869888111371444
"186",2085,0.869888111371444
"187",2086,0.869888111371444
"188",2087,0.869888111371444
"189",2088,0.869888111371444
"190",2089,0.869888111371444
"191",2090,0.869888111371444
"192",2091,0.869888111371444
"193",2092,0.869888111371444
"194",2093,0.869888111371444
"195",2094,0.869888111371444
"196",2095,0.869888111371444
"197",2096,0.869888111371444
"198",2097,0.869888111371444
"199",2098,0.869888111371444
"200",2099,0.869888111371444
