"","t",""
"1",1900,0.400000428798982
"2",1901,0.400000428798982
"3",1902,0.400000428798982
"4",1903,0.400000428798982
"5",1904,0.400000428798982
"6",1905,0.400000428798982
"7",1906,0.400000428798982
"8",1907,0.400000428798982
"9",1908,0.400000428798982
"10",1909,0.400000428798982
"11",1910,0.400000428798982
"12",1911,0.400000428798982
"13",1912,0.400000428798982
"14",1913,0.400000428798982
"15",1914,0.400000428798982
"16",1915,0.400000428798982
"17",1916,0.400000428798982
"18",1917,0.400000428798982
"19",1918,0.400000428798982
"20",1919,0.400000428798982
"21",1920,0.400000428798982
"22",1921,0.400000428798982
"23",1922,0.400000428798982
"24",1923,0.400000428798982
"25",1924,0.400000428798982
"26",1925,0.400000428798982
"27",1926,0.400000428798982
"28",1927,0.400000428798982
"29",1928,0.400000428798982
"30",1929,0.400000428798982
"31",1930,0.400000428798982
"32",1931,0.400000428798982
"33",1932,0.400000428798982
"34",1933,0.400000428798982
"35",1934,0.400000428798982
"36",1935,0.400000428798982
"37",1936,0.400000428798982
"38",1937,0.400000428798982
"39",1938,0.400000428798982
"40",1939,0.400000428798982
"41",1940,0.400000428798982
"42",1941,0.400000428798982
"43",1942,0.400000428798982
"44",1943,0.400000428798982
"45",1944,0.400000428798982
"46",1945,0.400000428798982
"47",1946,0.400000428798982
"48",1947,0.400000428798982
"49",1948,0.400000428798982
"50",1949,0.400000428798982
"51",1950,0.400000428798982
"52",1951,0.400000428798982
"53",1952,0.400000428798982
"54",1953,0.400000428798982
"55",1954,0.400000428798982
"56",1955,0.400000428798982
"57",1956,0.400000428798982
"58",1957,0.400000428798982
"59",1958,0.400000428798982
"60",1959,0.400000428798982
"61",1960,0.400000428798982
"62",1961,0.400000428798982
"63",1962,0.400000428798982
"64",1963,0.400000428798982
"65",1964,0.400000428798982
"66",1965,0.400000428798982
"67",1966,0.400000428798982
"68",1967,0.400000428798982
"69",1968,0.400000428798982
"70",1969,0.400000428798982
"71",1970,0.400000428798982
"72",1971,0.400000664136523
"73",1972,0.400001028633972
"74",1973,0.400001593177548
"75",1974,0.400002467557067
"76",1975,0.400003821816136
"77",1976,0.40000591931821
"78",1977,0.400009167956021
"79",1978,0.400014199456048
"80",1979,0.400021992183098
"81",1980,0.400034061284794
"82",1981,0.400052753051689
"83",1982,0.40008170049197
"84",1983,0.400126528126133
"85",1984,0.400195941645019
"86",1985,0.400303410934398
"87",1986,0.400469765610063
"88",1987,0.400727188306181
"89",1988,0.401125335696692
"90",1989,0.401740666645255
