"","t",""
"1",1900,0.400000001332538
"2",1901,0.400000001332538
"3",1902,0.400000001332538
"4",1903,0.400000001332538
"5",1904,0.400000001332538
"6",1905,0.400000001332538
"7",1906,0.400000001332538
"8",1907,0.400000001332538
"9",1908,0.400000001332538
"10",1909,0.400000001332538
"11",1910,0.400000001332538
"12",1911,0.400000001332538
"13",1912,0.400000001332538
"14",1913,0.400000001332538
"15",1914,0.400000001332538
"16",1915,0.400000001332538
"17",1916,0.400000001332538
"18",1917,0.400000001332538
"19",1918,0.400000001332538
"20",1919,0.400000001332538
"21",1920,0.400000001332538
"22",1921,0.400000001332538
"23",1922,0.400000001332538
"24",1923,0.400000001332538
"25",1924,0.400000001332538
"26",1925,0.400000001332538
"27",1926,0.400000001332538
"28",1927,0.400000001332538
"29",1928,0.400000001332538
"30",1929,0.400000001332538
"31",1930,0.400000001332538
"32",1931,0.400000001332538
"33",1932,0.400000001332538
"34",1933,0.400000001332538
"35",1934,0.400000001332538
"36",1935,0.400000001332538
"37",1936,0.400000001332538
"38",1937,0.400000001332538
"39",1938,0.400000001332538
"40",1939,0.400000001332538
"41",1940,0.400000001332538
"42",1941,0.400000001332538
"43",1942,0.400000001332538
"44",1943,0.400000001332538
"45",1944,0.400000001332538
"46",1945,0.400000001332538
"47",1946,0.400000001332538
"48",1947,0.400000001332538
"49",1948,0.400000001332538
"50",1949,0.400000001332538
"51",1950,0.400000001332538
"52",1951,0.400000001332538
"53",1952,0.400000001332538
"54",1953,0.400000001332538
"55",1954,0.400000001332538
"56",1955,0.400000001332538
"57",1956,0.400000001332538
"58",1957,0.400000001332538
"59",1958,0.400000001332538
"60",1959,0.400000001332538
"61",1960,0.400000001332538
"62",1961,0.400000001332538
"63",1962,0.400000001332538
"64",1963,0.400000001332538
"65",1964,0.400000001332538
"66",1965,0.400000001332538
"67",1966,0.400000001332538
"68",1967,0.400000001332538
"69",1968,0.400000001332538
"70",1969,0.400000001332538
"71",1970,0.400000001332538
"72",1971,0.400000002338677
"73",1972,0.400000004104505
"74",1973,0.400000007203631
"75",1974,0.400000012642767
"76",1975,0.400000022188746
"77",1976,0.400000038942461
"78",1977,0.400000068346143
"79",1978,0.400000119951205
"80",1979,0.400000210520884
"81",1980,0.400000369475545
"82",1981,0.400000648449428
"83",1982,0.400001138063118
"84",1983,0.400001997359674
"85",1984,0.40000350546523
"86",1985,0.400006152251762
"87",1986,0.40001079744165
"88",1987,0.400018949803152
"89",1988,0.400033257025182
"90",1989,0.400058365078465
"91",1990,0.400102425222458
"92",1991,0.400179735132681
"93",1992,0.400315362678128
"94",1993,0.400553225406393
"95",1994,0.400970161496193
"96",1995,0.40170029124849
"97",1996,0.402976754850668
"98",1997,0.405201883197364
"99",1998,0.409061147933742
"100",1999,0.415696293087956
"101",2000,0.426933987385257
"102",2001,0.44549149717424
"103",2002,0.474893010914364
"104",2003,0.518549457808669
"105",2004,0.577505488377987
"106",2005,0.647691174473546
