"","t",""
"1",1900,0.400000010481222
"2",1901,0.400000010481222
"3",1902,0.400000010481222
"4",1903,0.400000010481222
"5",1904,0.400000010481222
"6",1905,0.400000010481222
"7",1906,0.400000010481222
"8",1907,0.400000010481222
"9",1908,0.400000010481222
"10",1909,0.400000010481222
"11",1910,0.400000010481222
"12",1911,0.400000010481222
"13",1912,0.400000010481222
"14",1913,0.400000010481222
"15",1914,0.400000010481222
"16",1915,0.400000010481222
"17",1916,0.400000010481222
"18",1917,0.400000010481222
"19",1918,0.400000010481222
"20",1919,0.400000010481222
"21",1920,0.400000010481222
"22",1921,0.400000010481222
"23",1922,0.400000010481222
"24",1923,0.400000010481222
"25",1924,0.400000010481222
"26",1925,0.400000010481222
"27",1926,0.400000010481222
"28",1927,0.400000010481222
"29",1928,0.400000010481222
"30",1929,0.400000010481222
"31",1930,0.400000010481222
"32",1931,0.400000010481222
"33",1932,0.400000010481222
"34",1933,0.400000010481222
"35",1934,0.400000010481222
"36",1935,0.400000010481222
"37",1936,0.400000010481222
"38",1937,0.400000010481222
"39",1938,0.400000010481222
"40",1939,0.400000010481222
"41",1940,0.400000010481222
"42",1941,0.400000010481222
"43",1942,0.400000010481222
"44",1943,0.400000010481222
"45",1944,0.400000010481222
"46",1945,0.400000010481222
"47",1946,0.400000010481222
"48",1947,0.400000010481222
"49",1948,0.400000010481222
"50",1949,0.400000010481222
"51",1950,0.400000010481222
"52",1951,0.400000010481222
"53",1952,0.400000010481222
"54",1953,0.400000010481222
"55",1954,0.400000010481222
"56",1955,0.400000010481222
"57",1956,0.400000010481222
"58",1957,0.400000010481222
"59",1958,0.400000010481222
"60",1959,0.400000010481222
"61",1960,0.400000010481222
"62",1961,0.400000010481222
"63",1962,0.400000010481222
"64",1963,0.400000010481222
"65",1964,0.400000010481222
"66",1965,0.400000010481222
"67",1966,0.400000010481222
"68",1967,0.400000010481222
"69",1968,0.400000010481222
"70",1969,0.400000010481222
"71",1970,0.400000010481222
"72",1971,0.400000017280613
"73",1972,0.400000028490913
"74",1973,0.400000046973573
"75",1974,0.400000077446325
"76",1975,0.400000127687391
"77",1976,0.400000210520884
"78",1977,0.400000347090169
"79",1978,0.400000572254696
"80",1979,0.400000943487816
"81",1980,0.4000015555466
"82",1981,0.400002564657789
"83",1982,0.400004228392321
"84",1983,0.400006971403585
"85",1984,0.400011493801414
"86",1985,0.400018949803152
"87",1986,0.400031242204947
"88",1987,0.400051507680279
"89",1988,0.400084916351531
"90",1989,0.400139988565084
"91",1990,0.400230761824326
"92",1991,0.400380352430543
"93",1992,0.400626797723809
"94",1993,0.401032607286414
"95",1994,0.40170029124849
"96",1995,0.402797372608875
"97",1996,0.404596048264159
"98",1997,0.407534402094403
"99",1998,0.412306454783327
"100",1999,0.419983116856993
"101",2000,0.432145217400538
"102",2001,0.450955078969692
"103",2002,0.478989476433341
"104",2003,0.518549457808669
"105",2004,0.570272509240076
"106",2005,0.631546380923702
"107",2006,0.696195383915915
"108",2007,0.756581215996429
"109",2008,0.806895647815916
"110",2009,0.844978157727374
"111",2010,0.871758427353705
"112",2011,0.889631463266679
"113",2012,0.901147335713827
"114",2013,0.908399801011462
"115",2014,0.912901819062417
"116",2015,0.91567148721957
"117",2016,0.91736599723435
"118",2017,0.918399206061469
"119",2018,0.919027891905541
"120",2019,0.919409952616896
"121",2020,0.919641958315799
"122",2021,0.919782777891252
"123",2022,0.91986822647201
"124",2023,0.919920067345105
"125",2024,0.919951515461614
"126",2025,0.919970591562043
