"","t",""
"1",1900,0.400000000175929
"2",1901,0.400000000175929
"3",1902,0.400000000175929
"4",1903,0.400000000175929
"5",1904,0.400000000175929
"6",1905,0.400000000175929
"7",1906,0.400000000175929
"8",1907,0.400000000175929
"9",1908,0.400000000175929
"10",1909,0.400000000175929
"11",1910,0.400000000175929
"12",1911,0.400000000175929
"13",1912,0.400000000175929
"14",1913,0.400000000175929
"15",1914,0.400000000175929
"16",1915,0.400000000175929
"17",1916,0.400000000175929
"18",1917,0.400000000175929
"19",1918,0.400000000175929
"20",1919,0.400000000175929
"21",1920,0.400000000175929
"22",1921,0.400000000175929
"23",1922,0.400000000175929
"24",1923,0.400000000175929
"25",1924,0.400000000175929
"26",1925,0.400000000175929
"27",1926,0.400000000175929
"28",1927,0.400000000175929
"29",1928,0.400000000175929
"30",1929,0.400000000175929
"31",1930,0.400000000175929
"32",1931,0.400000000175929
"33",1932,0.400000000175929
"34",1933,0.400000000175929
"35",1934,0.400000000175929
"36",1935,0.400000000175929
"37",1936,0.400000000175929
"38",1937,0.400000000175929
"39",1938,0.400000000175929
"40",1939,0.400000000175929
"41",1940,0.400000000175929
"42",1941,0.400000000175929
"43",1942,0.400000000175929
"44",1943,0.400000000175929
"45",1944,0.400000000175929
"46",1945,0.400000000175929
"47",1946,0.400000000175929
"48",1947,0.400000000175929
"49",1948,0.400000000175929
"50",1949,0.400000000175929
"51",1950,0.400000000175929
"52",1951,0.400000000175929
"53",1952,0.400000000175929
"54",1953,0.400000000175929
"55",1954,0.400000000175929
"56",1955,0.400000000175929
"57",1956,0.400000000175929
"58",1957,0.400000000175929
"59",1958,0.400000000175929
"60",1959,0.400000000175929
"61",1960,0.400000000175929
"62",1961,0.400000000175929
"63",1962,0.400000000175929
"64",1963,0.400000000175929
"65",1964,0.400000000175929
"66",1965,0.400000000175929
"67",1966,0.400000000175929
"68",1967,0.400000000175929
"69",1968,0.400000000175929
"70",1969,0.400000000175929
"71",1970,0.400000000175929
"72",1971,0.400000000328679
"73",1972,0.400000000614053
"74",1973,0.400000001147202
"75",1974,0.400000002143255
"76",1975,0.400000004004127
"77",1976,0.400000007480694
"78",1977,0.400000013975776
"79",1978,0.400000026110187
"80",1979,0.400000048780249
"81",1980,0.400000091133495
"82",1981,0.400000170259756
"83",1982,0.400000318087005
"84",1983,0.400000594264427
"85",1984,0.400001110230946
"86",1985,0.400002074180403
"87",1986,0.400003875064937
"88",1987,0.400007239524787
"89",1988,0.400013525039739
"90",1989,0.400025267496392
"91",1990,0.400047203788482
"92",1991,0.400088180925051
"93",1992,0.40016471796715
"94",1993,0.400307644050828
"95",1994,0.400574442192021
"96",1995,0.401072110053458
"97",1996,0.401999174465546
"98",1997,0.403721789966084
"99",1998,0.40690774852245
"100",1999,0.412749606418283
"101",2000,0.423294127831137
"102",2001,0.44179715338224
"103",2002,0.472712153214144
"104",2003,0.520364974932577
"105",2004,0.585402302781126
"106",2005,0.660843489129923
"107",2006,0.73347447338094
"108",2007,0.791881111442095
"109",2008,0.83241994817381
"110",2009,0.857766995603792
"111",2010,0.8725947892965
"112",2011,0.880933189888951
"113",2012,0.885518466375079
"114",2013,0.888008897110378
"115",2014,0.889352455159908
"116",2015,0.890074654165756
"117",2016,0.89046209600103
"118",2017,0.890669730486996
"119",2018,0.890780941468961
"120",2019,0.89084048913409
"121",2020,0.890872368640092
"122",2021,0.890889434211571
"123",2022,0.890898569241301
"124",2023,0.890903459010061
"125",2024,0.890906076354698
"126",2025,0.890907477329795
"127",2026,0.890908227221013
"128",2027,0.890908628609798
"129",2028,0.890908843458003
"130",2029,0.890908958458037
"131",2030,0.890909020013142
"132",2031,0.890909052961221
"133",2032,0.890909070597059
"134",2033,0.890909080036844
"135",2034,0.890909085089596
"136",2035,0.89090908779414
"137",2036,0.890909089241778
"138",2037,0.890909090016642
"139",2038,0.890909090431398
"140",2039,0.8909090906534
"141",2040,0.890909090772229
"142",2041,0.890909090835834
"143",2042,0.890909090869879
"144",2043,0.890909090888102
"145",2044,0.890909090897857
"146",2045,0.890909090903078
"147",2046,0.890909090905872
"148",2047,0.890909090907368
"149",2048,0.890909090908169
"150",2049,0.890909090908597
"151",2050,0.890909090908827
"152",2051,0.890909090908597
"153",2052,0.890909090908597
"154",2053,0.890909090908597
"155",2054,0.890909090908597
"156",2055,0.890909090908597
"157",2056,0.890909090908597
"158",2057,0.890909090908597
"159",2058,0.890909090908597
"160",2059,0.890909090908597
"161",2060,0.890909090908597
"162",2061,0.890909090908597
"163",2062,0.890909090908597
"164",2063,0.890909090908597
"165",2064,0.890909090908597
"166",2065,0.890909090908597
"167",2066,0.890909090908597
"168",2067,0.890909090908597
"169",2068,0.890909090908597
"170",2069,0.890909090908597
"171",2070,0.890909090908597
"172",2071,0.890909090908597
"173",2072,0.890909090908597
"174",2073,0.890909090908597
"175",2074,0.890909090908597
"176",2075,0.890909090908597
"177",2076,0.890909090908597
"178",2077,0.890909090908597
"179",2078,0.890909090908597
"180",2079,0.890909090908597
"181",2080,0.890909090908597
"182",2081,0.890909090908597
"183",2082,0.890909090908597
"184",2083,0.890909090908597
"185",2084,0.890909090908597
"186",2085,0.890909090908597
"187",2086,0.890909090908597
"188",2087,0.890909090908597
"189",2088,0.890909090908597
"190",2089,0.890909090908597
"191",2090,0.890909090908597
"192",2091,0.890909090908597
"193",2092,0.890909090908597
"194",2093,0.890909090908597
"195",2094,0.890909090908597
"196",2095,0.890909090908597
"197",2096,0.890909090908597
"198",2097,0.890909090908597
"199",2098,0.890909090908597
"200",2099,0.890909090908597
