"","t",""
"1",1900,0.375001689914034
"2",1901,0.375001689914034
"3",1902,0.375001689914034
"4",1903,0.375001689914034
"5",1904,0.375001689914034
"6",1905,0.375001689914034
"7",1906,0.375001689914034
"8",1907,0.375001689914034
"9",1908,0.375001689914034
"10",1909,0.375001689914034
"11",1910,0.375001689914034
"12",1911,0.375001689914034
"13",1912,0.375001689914034
"14",1913,0.375001689914034
"15",1914,0.375001689914034
"16",1915,0.375001689914034
"17",1916,0.375001689914034
"18",1917,0.375001689914034
"19",1918,0.375001689914034
"20",1919,0.375001689914034
"21",1920,0.375001689914034
"22",1921,0.375001689914034
"23",1922,0.375001689914034
"24",1923,0.375001689914034
"25",1924,0.375001689914034
"26",1925,0.375001689914034
"27",1926,0.375001689914034
"28",1927,0.375001689914034
"29",1928,0.375001689914034
"30",1929,0.375001689914034
"31",1930,0.375001689914034
"32",1931,0.375001689914034
"33",1932,0.375001689914034
"34",1933,0.375001689914034
"35",1934,0.375001689914034
"36",1935,0.375001689914034
"37",1936,0.375001689914034
"38",1937,0.375001689914034
"39",1938,0.375001689914034
"40",1939,0.375001689914034
"41",1940,0.375001689914034
"42",1941,0.375001689914034
"43",1942,0.375001689914034
"44",1943,0.375001689914034
"45",1944,0.375001689914034
"46",1945,0.375001689914034
"47",1946,0.375001689914034
"48",1947,0.375001689914034
"49",1948,0.375001689914034
"50",1949,0.375001689914034
"51",1950,0.375001689914034
"52",1951,0.375001689914034
"53",1952,0.375001689914034
"54",1953,0.375001689914034
"55",1954,0.375001689914034
"56",1955,0.375001689914034
"57",1956,0.375001689914034
"58",1957,0.375001689914034
"59",1958,0.375001689914034
"60",1959,0.375001689914034
"61",1960,0.375001689914034
"62",1961,0.375001689914034
"63",1962,0.375001689914034
"64",1963,0.375001689914034
"65",1964,0.375001689914034
"66",1965,0.375001689914034
"67",1966,0.375001689914034
"68",1967,0.375001689914034
"69",1968,0.375001689914034
"70",1969,0.375001689914034
"71",1970,0.375001689914034
"72",1971,0.375002398099359
"73",1972,0.375003403059326
"74",1973,0.375004829159672
"75",1974,0.375006852880854
"76",1975,0.375009724654673
"77",1976,0.375013799848912
"78",1977,0.375019582730579
"79",1978,0.375027788840538
"80",1979,0.375039433482781
"81",1980,0.375055957247296
"82",1981,0.375079404036038
"83",1982,0.375112673493604
"84",1983,0.375159878820465
"85",1984,0.375226853723176
"86",1985,0.375321870179575
"87",1986,0.375456653715298
"88",1987,0.375647817555865
"89",1988,0.375918884543421
"90",1989,0.376303129811164
"91",1990,0.376847561536916
"92",1991,0.377618463623486
"93",1992,0.378709049501172
"94",1993,0.380249903935861
"95",1994,0.38242297488286
"96",1995,0.385479818697106
"97",1996,0.38976439449919
"98",1997,0.395739571444359
"99",1998,0.40401404417791
"100",1999,0.415361728261413
"101",2000,0.43071827483415
"102",2001,0.451129798104148
"103",2002,0.47762176193487
"104",2003,0.510962534446878
"105",2004,0.55133335701564
"106",2005,0.597992333843963
"107",2006,0.64910298758015
"108",2007,0.70190348077504
"109",2008,0.753248504787481
"110",2009,0.800324090205594
"111",2010,0.841212410613991
"112",2011,0.875090995010914
"113",2012,0.90208183532297
"114",2013,0.922921096865083
"115",2014,0.938624399210229
"116",2015,0.950242110296506
"117",2016,0.958720882124428
"118",2017,0.964847473741585
"119",2018,0.969242631201376
"120",2019,0.972379395492296
"121",2020,0.974609800514296
"122",2021,0.976191570422001
"123",2022,0.977311246734131
"124",2023,0.97810277762355
"125",2024,0.9786618107308
"126",2025,0.979056377590369
"127",2026,0.97933473410534
"128",2027,0.979531042763602
"129",2028,0.979669455757075
"130",2029,0.979767031820663
"131",2030,0.979835811427843
"132",2031,0.979884288995244
"133",2032,0.979918455227391
"134",2033,0.979942534082617
"135",2034,0.979959503316515
"136",2035,0.979971461905357
"137",2036,0.97997988926446
"138",2037,0.979985828065072
"139",2038,0.979990013137162
"140",2039,0.979992962342398
"141",2040,0.979995040629472
"142",2041,0.979996505182196
"143",2042,0.979997537239317
"144",2043,0.979998264519792
"145",2044,0.979998777026732
"146",2045,0.979999138184789
"147",2046,0.97999939268883
"148",2047,0.979999572034925
"149",2048,0.979999698418046
"150",2049,0.979999787478757
"151",2050,0.979999850238796
"152",2051,0.979999787478757
"153",2052,0.979999787478757
"154",2053,0.979999787478757
"155",2054,0.979999787478757
"156",2055,0.979999787478757
"157",2056,0.979999787478757
"158",2057,0.979999787478757
"159",2058,0.979999787478757
"160",2059,0.979999787478757
"161",2060,0.979999787478757
"162",2061,0.979999787478757
"163",2062,0.979999787478757
"164",2063,0.979999787478757
"165",2064,0.979999787478757
"166",2065,0.979999787478757
"167",2066,0.979999787478757
"168",2067,0.979999787478757
"169",2068,0.979999787478757
"170",2069,0.979999787478757
"171",2070,0.979999787478757
"172",2071,0.979999787478757
"173",2072,0.979999787478757
"174",2073,0.979999787478757
"175",2074,0.979999787478757
"176",2075,0.979999787478757
"177",2076,0.979999787478757
"178",2077,0.979999787478757
"179",2078,0.979999787478757
"180",2079,0.979999787478757
"181",2080,0.979999787478757
"182",2081,0.979999787478757
"183",2082,0.979999787478757
"184",2083,0.979999787478757
"185",2084,0.979999787478757
"186",2085,0.979999787478757
"187",2086,0.979999787478757
"188",2087,0.979999787478757
"189",2088,0.979999787478757
"190",2089,0.979999787478757
"191",2090,0.979999787478757
"192",2091,0.979999787478757
"193",2092,0.979999787478757
"194",2093,0.979999787478757
"195",2094,0.979999787478757
"196",2095,0.979999787478757
"197",2096,0.979999787478757
"198",2097,0.979999787478757
"199",2098,0.979999787478757
"200",2099,0.979999787478757
