"","t",""
"1",1900,0.400000001383789
"2",1901,0.400000001383789
"3",1902,0.400000001383789
"4",1903,0.400000001383789
"5",1904,0.400000001383789
"6",1905,0.400000001383789
"7",1906,0.400000001383789
"8",1907,0.400000001383789
"9",1908,0.400000001383789
"10",1909,0.400000001383789
"11",1910,0.400000001383789
"12",1911,0.400000001383789
"13",1912,0.400000001383789
"14",1913,0.400000001383789
"15",1914,0.400000001383789
"16",1915,0.400000001383789
"17",1916,0.400000001383789
"18",1917,0.400000001383789
"19",1918,0.400000001383789
"20",1919,0.400000001383789
"21",1920,0.400000001383789
"22",1921,0.400000001383789
"23",1922,0.400000001383789
"24",1923,0.400000001383789
"25",1924,0.400000001383789
"26",1925,0.400000001383789
"27",1926,0.400000001383789
"28",1927,0.400000001383789
"29",1928,0.400000001383789
"30",1929,0.400000001383789
"31",1930,0.400000001383789
"32",1931,0.400000001383789
"33",1932,0.400000001383789
"34",1933,0.400000001383789
"35",1934,0.400000001383789
"36",1935,0.400000001383789
"37",1936,0.400000001383789
"38",1937,0.400000001383789
"39",1938,0.400000001383789
"40",1939,0.400000001383789
"41",1940,0.400000001383789
"42",1941,0.400000001383789
"43",1942,0.400000001383789
"44",1943,0.400000001383789
"45",1944,0.400000001383789
"46",1945,0.400000001383789
"47",1946,0.400000001383789
"48",1947,0.400000001383789
"49",1948,0.400000001383789
"50",1949,0.400000001383789
"51",1950,0.400000001383789
"52",1951,0.400000001383789
"53",1952,0.400000001383789
"54",1953,0.400000001383789
"55",1954,0.400000001383789
"56",1955,0.400000001383789
"57",1956,0.400000001383789
"58",1957,0.400000001383789
"59",1958,0.400000001383789
"60",1959,0.400000001383789
"61",1960,0.400000001383789
"62",1961,0.400000001383789
"63",1962,0.400000001383789
"64",1963,0.400000001383789
"65",1964,0.400000001383789
"66",1965,0.400000001383789
"67",1966,0.400000001383789
"68",1967,0.400000001383789
"69",1968,0.400000001383789
"70",1969,0.400000001383789
"71",1970,0.400000001383789
"72",1971,0.400000002428626
"73",1972,0.400000004262371
"74",1973,0.400000007480694
"75",1974,0.400000013129027
"76",1975,0.400000023042159
"77",1976,0.400000040440248
"78",1977,0.400000070974841
"79",1978,0.400000124564713
"80",1979,0.400000218617841
"81",1980,0.400000383686143
"82",1981,0.400000673389791
"83",1982,0.400001181834776
"84",1983,0.4000020741812
"85",1984,0.400003640290816
"86",1985,0.40000638887683
"87",1986,0.400011212727867
"88",1987,0.400019678641735
"89",1988,0.400034536141535
"90",1989,0.400060609889175
"91",1990,0.400106364654091
"92",1991,0.4001866480224
"93",1992,0.400327492011903
"94",1993,0.400574503306639
"95",1994,0.401007475399893
"96",1995,0.40176568706574
"97",1996,0.403091245421848
"98",1997,0.405401955628032
"99",1998,0.409409653623502
"100",1999,0.416299996668262
"101",2000,0.427969909976998
"102",2001,0.44724117014248
"103",2002,0.477773511334147
"104",2003,0.523109052339772
"105",2004,0.584332622546371
"106",2005,0.657217758107143
"107",2006,0.732019054852212
"108",2007,0.797960325142654
"109",2008,0.848741123583617
"110",2009,0.883925303528492
"111",2010,0.906555479641995
"112",2011,0.920422233241282
"113",2012,0.92866817575448
"114",2013,0.933484498921616
"115",2014,0.936268208070515
"116",2015,0.937867348439178
"117",2016,0.938782783621209
"118",2017,0.939305777788319
"119",2018,0.93960422520983
"120",2019,0.939774423194762
"121",2020,0.939871447107617
"122",2021,0.939926745267255
"123",2022,0.939958258275324
"124",2023,0.939976215491238
"125",2024,0.93998644773861
"126",2025,0.939992278070849
"127",2026,0.939995600150328
"128",2027,0.939997493032438
"129",2028,0.939998571570088
"130",2029,0.939999186104243
"131",2030,0.939999536255876
"132",2031,0.939999735766465
"133",2032,0.939999849444239
"134",2033,0.939999914215903
"135",2034,0.939999951121691
"136",2035,0.939999972149978
"137",2036,0.939999984131535
"138",2037,0.939999990958421
"139",2038,0.939999994848264
