"","t",""
"1",1900,0.400000000071387
"2",1901,0.400000000071387
"3",1902,0.400000000071387
"4",1903,0.400000000071387
"5",1904,0.400000000071387
"6",1905,0.400000000071387
"7",1906,0.400000000071387
"8",1907,0.400000000071387
"9",1908,0.400000000071387
"10",1909,0.400000000071387
"11",1910,0.400000000071387
"12",1911,0.400000000071387
"13",1912,0.400000000071387
"14",1913,0.400000000071387
"15",1914,0.400000000071387
"16",1915,0.400000000071387
"17",1916,0.400000000071387
"18",1917,0.400000000071387
"19",1918,0.400000000071387
"20",1919,0.400000000071387
"21",1920,0.400000000071387
"22",1921,0.400000000071387
"23",1922,0.400000000071387
"24",1923,0.400000000071387
"25",1924,0.400000000071387
"26",1925,0.400000000071387
"27",1926,0.400000000071387
"28",1927,0.400000000071387
"29",1928,0.400000000071387
"30",1929,0.400000000071387
"31",1930,0.400000000071387
"32",1931,0.400000000071387
"33",1932,0.400000000071387
"34",1933,0.400000000071387
"35",1934,0.400000000071387
"36",1935,0.400000000071387
"37",1936,0.400000000071387
"38",1937,0.400000000071387
"39",1938,0.400000000071387
"40",1939,0.400000000071387
"41",1940,0.400000000071387
"42",1941,0.400000000071387
"43",1942,0.400000000071387
"44",1943,0.400000000071387
"45",1944,0.400000000071387
"46",1945,0.400000000071387
"47",1946,0.400000000071387
"48",1947,0.400000000071387
"49",1948,0.400000000071387
"50",1949,0.400000000071387
"51",1950,0.400000000071387
"52",1951,0.400000000071387
"53",1952,0.400000000071387
"54",1953,0.400000000071387
"55",1954,0.400000000071387
"56",1955,0.400000000071387
"57",1956,0.400000000071387
"58",1957,0.400000000071387
"59",1958,0.400000000071387
"60",1959,0.400000000071387
"61",1960,0.400000000071387
"62",1961,0.400000000071387
"63",1962,0.400000000071387
"64",1963,0.400000000071387
"65",1964,0.400000000071387
"66",1965,0.400000000071387
"67",1966,0.400000000071387
"68",1967,0.400000000071387
"69",1968,0.400000000071387
"70",1969,0.400000000071387
"71",1970,0.400000000071387
"72",1971,0.400000000136745
"73",1972,0.400000000261941
"74",1973,0.400000000501759
"75",1974,0.40000000096114
"76",1975,0.400000001841102
"77",1976,0.400000003526707
"78",1977,0.400000006755551
"79",1978,0.400000012940534
"80",1979,0.40000002478812
"81",1980,0.400000047482654
"82",1981,0.400000090954954
"83",1982,0.400000174227899
"84",1983,0.400000333740547
"85",1984,0.400000639293253
"86",1985,0.400001224590894
"87",1986,0.400002345748596
"88",1987,0.40000449335791
"89",1988,0.400008607139719
"90",1989,0.400016487067711
"91",1990,0.400031580697956
"92",1991,0.400060490618362
"93",1992,0.400115859416278
"94",1993,0.400221886369544
"95",1994,0.400424859783107
"96",1995,0.400813203626981
"97",1996,0.40155540868055
"98",1997,0.402970987223197
"99",1998,0.405660254861643
"100",1999,0.410731226683839
"101",2000,0.420159964547574
"102",2001,0.437242447341494
"103",2002,0.466785088642794
"104",2003,0.513989863277567
"105",2004,0.580646782975632
"106",2005,0.66002535777058
"107",2006,0.7374296151978
"108",2007,0.799515244641601
"109",2008,0.841968153737603
"110",2009,0.867925443642169
"111",2010,0.882725986186639
"112",2011,0.890830768241262
"113",2012,0.89517091461113
"114",2013,0.897467305033029
"115",2014,0.89867460848332
"116",2015,0.899307207220309
"117",2016,0.89963809078209
"118",2017,0.899811001436774
"119",2018,0.899901316269526
"120",2019,0.899948477715039
"121",2020,0.899973101683969
"122",2021,0.899985957486648
"123",2022,0.899992669066804
"124",2023,0.899996172890466
"125",2024,0.899998002066321
"126",2025,0.899998956985169
"127",2026,0.899999455497969
"128",2027,0.899999715744866
"129",2028,0.899999851605768
"130",2029,0.899999922531407
"131",2030,0.899999959557845
"132",2031,0.899999978887343
"133",2032,0.899999988978226
"134",2033,0.89999999424613
"135",2034,0.899999996996216
"136",2035,0.899999998431887
"137",2036,0.899999999181373
"138",2037,0.899999999572639
"139",2038,0.899999999776898
"140",2039,0.899999999883531
"141",2040,0.899999999939198
"142",2041,0.899999999968258
"143",2042,0.899999999983429
"144",2043,0.899999999991349
"145",2044,0.899999999995484
"146",2045,0.899999999997642
"147",2046,0.899999999998769
"148",2047,0.899999999999358
"149",2048,0.899999999999665
"150",2049,0.899999999999825
"151",2050,0.899999999999909
"152",2051,0.899999999999825
"153",2052,0.899999999999825
"154",2053,0.899999999999825
"155",2054,0.899999999999825
"156",2055,0.899999999999825
"157",2056,0.899999999999825
"158",2057,0.899999999999825
"159",2058,0.899999999999825
"160",2059,0.899999999999825
"161",2060,0.899999999999825
"162",2061,0.899999999999825
"163",2062,0.899999999999825
"164",2063,0.899999999999825
"165",2064,0.899999999999825
"166",2065,0.899999999999825
"167",2066,0.899999999999825
"168",2067,0.899999999999825
"169",2068,0.899999999999825
"170",2069,0.899999999999825
"171",2070,0.899999999999825
"172",2071,0.899999999999825
"173",2072,0.899999999999825
"174",2073,0.899999999999825
"175",2074,0.899999999999825
"176",2075,0.899999999999825
"177",2076,0.899999999999825
"178",2077,0.899999999999825
"179",2078,0.899999999999825
"180",2079,0.899999999999825
"181",2080,0.899999999999825
"182",2081,0.899999999999825
"183",2082,0.899999999999825
"184",2083,0.899999999999825
"185",2084,0.899999999999825
"186",2085,0.899999999999825
"187",2086,0.899999999999825
"188",2087,0.899999999999825
"189",2088,0.899999999999825
"190",2089,0.899999999999825
"191",2090,0.899999999999825
"192",2091,0.899999999999825
"193",2092,0.899999999999825
"194",2093,0.899999999999825
"195",2094,0.899999999999825
"196",2095,0.899999999999825
"197",2096,0.899999999999825
"198",2097,0.899999999999825
"199",2098,0.899999999999825
"200",2099,0.899999999999825
