"","t",""
"1",1900,0.4
"2",1901,0.4
"3",1902,0.4
"4",1903,0.4
"5",1904,0.4
"6",1905,0.4
"7",1906,0.4
"8",1907,0.4
"9",1908,0.4
"10",1909,0.4
"11",1910,0.4
"12",1911,0.4
"13",1912,0.4
"14",1913,0.4
"15",1914,0.4
"16",1915,0.4
"17",1916,0.4
"18",1917,0.4
"19",1918,0.4
"20",1919,0.4
"21",1920,0.4
"22",1921,0.4
"23",1922,0.4
"24",1923,0.4
"25",1924,0.4
"26",1925,0.4
"27",1926,0.4
"28",1927,0.4
"29",1928,0.4
"30",1929,0.4
"31",1930,0.4
"32",1931,0.4
"33",1932,0.4
"34",1933,0.4
"35",1934,0.4
"36",1935,0.4
"37",1936,0.4
"38",1937,0.4
"39",1938,0.4
"40",1939,0.4
"41",1940,0.4
"42",1941,0.4
"43",1942,0.4
"44",1943,0.4
"45",1944,0.4
"46",1945,0.4
"47",1946,0.4
"48",1947,0.4
"49",1948,0.4
"50",1949,0.4
"51",1950,0.4
"52",1951,0.4
"53",1952,0.4
"54",1953,0.4
"55",1954,0.4
"56",1955,0.4
"57",1956,0.4
"58",1957,0.4
"59",1958,0.4
"60",1959,0.4
"61",1960,0.4
"62",1961,0.4
"63",1962,0.4
"64",1963,0.4
"65",1964,0.4
"66",1965,0.4
"67",1966,0.4
"68",1967,0.4
"69",1968,0.4
"70",1969,0.4
"71",1970,0.4
"72",1971,0.400000000000001
"73",1972,0.400000000000003
"74",1973,0.400000000000009
"75",1974,0.400000000000024
"76",1975,0.400000000000065
"77",1976,0.400000000000177
"78",1977,0.400000000000482
"79",1978,0.400000000001311
"80",1979,0.400000000003563
"81",1980,0.400000000009686
"82",1981,0.40000000002633
"83",1982,0.400000000071573
"84",1983,0.400000000194555
"85",1984,0.400000000528854
"86",1985,0.400000001437575
"87",1986,0.400000003907735
"88",1987,0.400000010622324
"89",1988,0.40000002887447
"90",1989,0.400000078488938
"91",1990,0.400000213354993
"92",1991,0.400000579958557
"93",1992,0.400001576487534
"94",1993,0.400004285313234
"95",1994,0.4000116485104
"96",1995,0.400031662613857
"97",1996,0.400086058153683
"98",1997,0.40023385827133
"99",1998,0.400635160961192
"100",1999,0.401722629721526
"101",2000,0.404653894409033
"102",2001,0.412443293863339
"103",2002,0.43238195988558
"104",2003,0.478879612305538
"105",2004,0.567203759352211
"106",2005,0.684324810373174
"107",2006,0.783026094692451
"108",2007,0.839102397481905
"109",2008,0.864098159055619
"110",2009,0.874024912842732
"111",2010,0.877784454817877
"112",2011,0.879182561443427
"113",2012,0.879698957088099
"114",2013,0.879889208578677
"115",2014,0.879959236166264
"116",2015,0.879985003018548
"117",2016,0.879994482809881
"118",2017,0.879997970324435
"119",2018,0.879999253322092
"120",2019,0.879999725312278
"121",2020,0.879999898947998
"122",2021,0.879999962825041
"123",2022,0.879999986324096
"124",2023,0.879999994968916
"125",2024,0.879999998149168
"126",2025,0.879999999319117
"127",2026,0.879999999749517
"128",2027,0.879999999907852
"129",2028,0.879999999966101
"130",2029,0.879999999987529
"131",2030,0.879999999995412
"132",2031,0.879999999998312
"133",2032,0.879999999999379
"134",2033,0.879999999999772
"135",2034,0.879999999999916
"136",2035,0.879999999999969
"137",2036,0.879999999999989
"138",2037,0.879999999999996
"139",2038,0.879999999999999
"140",2039,0.879999999999999
"141",2040,0.88
"142",2041,0.88
"143",2042,0.88
"144",2043,0.88
"145",2044,0.88
"146",2045,0.88
"147",2046,0.88
"148",2047,0.88
"149",2048,0.88
"150",2049,0.88
"151",2050,0.88
"152",2051,0.88
"153",2052,0.88
"154",2053,0.88
"155",2054,0.88
"156",2055,0.88
"157",2056,0.88
"158",2057,0.88
"159",2058,0.88
"160",2059,0.88
"161",2060,0.88
"162",2061,0.88
"163",2062,0.88
"164",2063,0.88
"165",2064,0.88
"166",2065,0.88
"167",2066,0.88
"168",2067,0.88
"169",2068,0.88
"170",2069,0.88
"171",2070,0.88
"172",2071,0.88
"173",2072,0.88
"174",2073,0.88
"175",2074,0.88
"176",2075,0.88
"177",2076,0.88
"178",2077,0.88
"179",2078,0.88
"180",2079,0.88
"181",2080,0.88
"182",2081,0.88
"183",2082,0.88
"184",2083,0.88
"185",2084,0.88
"186",2085,0.88
"187",2086,0.88
"188",2087,0.88
"189",2088,0.88
"190",2089,0.88
"191",2090,0.88
"192",2091,0.88
"193",2092,0.88
"194",2093,0.88
"195",2094,0.88
"196",2095,0.88
"197",2096,0.88
"198",2097,0.88
"199",2098,0.88
"200",2099,0.88
