"","t",""
"1",1900,0.400000664136523
"2",1901,0.400000664136523
"3",1902,0.400000664136523
"4",1903,0.400000664136523
"5",1904,0.400000664136523
"6",1905,0.400000664136523
"7",1906,0.400000664136523
"8",1907,0.400000664136523
"9",1908,0.400000664136523
"10",1909,0.400000664136523
"11",1910,0.400000664136523
"12",1911,0.400000664136523
"13",1912,0.400000664136523
"14",1913,0.400000664136523
"15",1914,0.400000664136523
"16",1915,0.400000664136523
"17",1916,0.400000664136523
"18",1917,0.400000664136523
"19",1918,0.400000664136523
"20",1919,0.400000664136523
"21",1920,0.400000664136523
"22",1921,0.400000664136523
"23",1922,0.400000664136523
"24",1923,0.400000664136523
"25",1924,0.400000664136523
"26",1925,0.400000664136523
"27",1926,0.400000664136523
"28",1927,0.400000664136523
"29",1928,0.400000664136523
"30",1929,0.400000664136523
"31",1930,0.400000664136523
"32",1931,0.400000664136523
"33",1932,0.400000664136523
"34",1933,0.400000664136523
"35",1934,0.400000664136523
"36",1935,0.400000664136523
"37",1936,0.400000664136523
"38",1937,0.400000664136523
"39",1938,0.400000664136523
"40",1939,0.400000664136523
"41",1940,0.400000664136523
"42",1941,0.400000664136523
"43",1942,0.400000664136523
"44",1943,0.400000664136523
"45",1944,0.400000664136523
"46",1945,0.400000664136523
"47",1946,0.400000664136523
"48",1947,0.400000664136523
"49",1948,0.400000664136523
"50",1949,0.400000664136523
"51",1950,0.400000664136523
"52",1951,0.400000664136523
"53",1952,0.400000664136523
"54",1953,0.400000664136523
"55",1954,0.400000664136523
"56",1955,0.400000664136523
"57",1956,0.400000664136523
"58",1957,0.400000664136523
"59",1958,0.400000664136523
"60",1959,0.400000664136523
"61",1960,0.400000664136523
"62",1961,0.400000664136523
"63",1962,0.400000664136523
"64",1963,0.400000664136523
"65",1964,0.400000664136523
"66",1965,0.400000664136523
"67",1966,0.400000664136523
"68",1967,0.400000664136523
"69",1968,0.400000664136523
"70",1969,0.400000664136523
"71",1970,0.400000664136523
"72",1971,0.400001028633972
