"","t",""
"1",1900,0.400001359990554
"2",1901,0.400001359990554
"3",1902,0.400001359990554
"4",1903,0.400001359990554
"5",1904,0.400001359990554
"6",1905,0.400001359990554
"7",1906,0.400001359990554
"8",1907,0.400001359990554
"9",1908,0.400001359990554
"10",1909,0.400001359990554
"11",1910,0.400001359990554
"12",1911,0.400001359990554
"13",1912,0.400001359990554
"14",1913,0.400001359990554
"15",1914,0.400001359990554
"16",1915,0.400001359990554
"17",1916,0.400001359990554
"18",1917,0.400001359990554
"19",1918,0.400001359990554
"20",1919,0.400001359990554
"21",1920,0.400001359990554
"22",1921,0.400001359990554
"23",1922,0.400001359990554
"24",1923,0.400001359990554
"25",1924,0.400001359990554
"26",1925,0.400001359990554
"27",1926,0.400001359990554
"28",1927,0.400001359990554
"29",1928,0.400001359990554
"30",1929,0.400001359990554
"31",1930,0.400001359990554
"32",1931,0.400001359990554
"33",1932,0.400001359990554
"34",1933,0.400001359990554
"35",1934,0.400001359990554
"36",1935,0.400001359990554
"37",1936,0.400001359990554
"38",1937,0.400001359990554
"39",1938,0.400001359990554
"40",1939,0.400001359990554
"41",1940,0.400001359990554
"42",1941,0.400001359990554
"43",1942,0.400001359990554
"44",1943,0.400001359990554
"45",1944,0.400001359990554
"46",1945,0.400001359990554
"47",1946,0.400001359990554
"48",1947,0.400001359990554
"49",1948,0.400001359990554
"50",1949,0.400001359990554
"51",1950,0.400001359990554
"52",1951,0.400001359990554
"53",1952,0.400001359990554
"54",1953,0.400001359990554
"55",1954,0.400001359990554
"56",1955,0.400001359990554
"57",1956,0.400001359990554
"58",1957,0.400001359990554
"59",1958,0.400001359990554
"60",1959,0.400001359990554
"61",1960,0.400001359990554
"62",1961,0.400001359990554
"63",1962,0.400001359990554
"64",1963,0.400001359990554
"65",1964,0.400001359990554
"66",1965,0.400001359990554
"67",1966,0.400001359990554
"68",1967,0.400001359990554
"69",1968,0.400001359990554
"70",1969,0.400001359990554
"71",1970,0.400001359990554
"72",1971,0.400001929916566
"73",1972,0.400002738678151
"74",1973,0.4000038863616
"75",1974,0.400005514994142
"76",1975,0.400007826118032
"77",1976,0.400011105727332
"78",1977,0.400015759650802
"79",1978,0.400022363754378
"80",1979,0.40003173516531
"81",1980,0.400045033310645
"82",1981,0.400063903230463
"83",1982,0.400090678813776
"84",1983,0.400128670931689
"85",1984,0.400182575769786
"86",1985,0.400259053176669
"87",1986,0.400367545161562
"88",1987,0.400521432938381
"89",1988,0.400739669890198
"90",1989,0.401049080873495
"91",1990,0.401487589041834
"92",1991,0.402108722820385
"93",1992,0.402987867760142
"94",1993,0.404230852508339
"95",1994,0.405985568100934
"96",1995,0.408457349495418
"97",1996,0.411928657874962
"98",1997,0.416782922364956
"99",1998,0.423530762491386
"100",1999,0.432833516250822
"101",2000,0.44551325691583
"102",2001,0.46253010195248
"103",2002,0.484898723454622
"104",2003,0.513513867472068
"105",2004,0.548873645527262
"106",2005,0.590744221026694
"107",2006,0.63789289861841
"108",2007,0.6880710523569
"109",2008,0.738364978184286
"110",2009,0.785834381650608
"111",2010,0.828163036925839
"112",2011,0.864037334082633
"113",2012,0.89315486050348
"114",2013,0.9159699895126
"115",2014,0.933358226074212
"116",2015,0.946332561276145
"117",2016,0.955861167571018
"118",2017,0.962777985272454
"119",2018,0.967756491261838
"120",2019,0.971318022758364
"121",2020,0.973854748946722
"122",2021,0.975655922561859
"123",2022,0.976931994480886
"124",2023,0.977834630525703
"125",2024,0.978472405724187
"126",2025,0.978922684585386
"127",2026,0.979240412006006
"128",2027,0.979464520290409
"129",2028,0.979622550917127
"130",2029,0.979733964999846
"131",2030,0.979812502906717
"132",2031,0.979867860416705
"133",2032,0.979906876544127
"134",2033,0.979934373898137
"135",2034,0.979953752522326
"136",2035,0.979967409185878
"137",2036,0.979977033260346
"138",2037,0.979983815422849
"139",2038,0.97998859482726
"140",2039,0.979991962863937
"141",2040,0.979994336302764
"142",2041,0.979996008848505
"143",2042,0.979997187477362
"144",2043,0.979998018045956
"145",2044,0.979998603339182
"146",2045,0.979999015789056
"147",2046,0.979999306437923
"148",2047,0.979999511254892
"149",2048,0.979999655587058
"150",2049,0.979999757296259
"151",2050,0.979999828969543
"152",2051,0.979999757296259
"153",2052,0.979999757296259
"154",2053,0.979999757296259
"155",2054,0.979999757296259
"156",2055,0.979999757296259
"157",2056,0.979999757296259
"158",2057,0.979999757296259
"159",2058,0.979999757296259
"160",2059,0.979999757296259
"161",2060,0.979999757296259
"162",2061,0.979999757296259
"163",2062,0.979999757296259
"164",2063,0.979999757296259
"165",2064,0.979999757296259
"166",2065,0.979999757296259
"167",2066,0.979999757296259
"168",2067,0.979999757296259
"169",2068,0.979999757296259
"170",2069,0.979999757296259
"171",2070,0.979999757296259
"172",2071,0.979999757296259
"173",2072,0.979999757296259
"174",2073,0.979999757296259
"175",2074,0.979999757296259
"176",2075,0.979999757296259
"177",2076,0.979999757296259
"178",2077,0.979999757296259
"179",2078,0.979999757296259
"180",2079,0.979999757296259
"181",2080,0.979999757296259
"182",2081,0.979999757296259
"183",2082,0.979999757296259
"184",2083,0.979999757296259
"185",2084,0.979999757296259
"186",2085,0.979999757296259
"187",2086,0.979999757296259
"188",2087,0.979999757296259
"189",2088,0.979999757296259
"190",2089,0.979999757296259
"191",2090,0.979999757296259
"192",2091,0.979999757296259
"193",2092,0.979999757296259
"194",2093,0.979999757296259
"195",2094,0.979999757296259
"196",2095,0.979999757296259
"197",2096,0.979999757296259
"198",2097,0.979999757296259
"199",2098,0.979999757296259
"200",2099,0.979999757296259
