"","t",""
"1",1900,0.400001359990395
"2",1901,0.400001359990395
"3",1902,0.400001359990395
"4",1903,0.400001359990395
"5",1904,0.400001359990395
"6",1905,0.400001359990395
"7",1906,0.400001359990395
"8",1907,0.400001359990395
"9",1908,0.400001359990395
"10",1909,0.400001359990395
"11",1910,0.400001359990395
"12",1911,0.400001359990395
"13",1912,0.400001359990395
"14",1913,0.400001359990395
"15",1914,0.400001359990395
"16",1915,0.400001359990395
"17",1916,0.400001359990395
"18",1917,0.400001359990395
"19",1918,0.400001359990395
"20",1919,0.400001359990395
"21",1920,0.400001359990395
"22",1921,0.400001359990395
"23",1922,0.400001359990395
"24",1923,0.400001359990395
"25",1924,0.400001359990395
"26",1925,0.400001359990395
"27",1926,0.400001359990395
"28",1927,0.400001359990395
"29",1928,0.400001359990395
"30",1929,0.400001359990395
"31",1930,0.400001359990395
"32",1931,0.400001359990395
"33",1932,0.400001359990395
"34",1933,0.400001359990395
"35",1934,0.400001359990395
"36",1935,0.400001359990395
"37",1936,0.400001359990395
"38",1937,0.400001359990395
"39",1938,0.400001359990395
"40",1939,0.400001359990395
"41",1940,0.400001359990395
"42",1941,0.400001359990395
"43",1942,0.400001359990395
"44",1943,0.400001359990395
"45",1944,0.400001359990395
"46",1945,0.400001359990395
"47",1946,0.400001359990395
"48",1947,0.400001359990395
"49",1948,0.400001359990395
"50",1949,0.400001359990395
"51",1950,0.400001359990395
"52",1951,0.400001359990395
"53",1952,0.400001359990395
"54",1953,0.400001359990395
"55",1954,0.400001359990395
"56",1955,0.400001359990395
"57",1956,0.400001359990395
"58",1957,0.400001359990395
"59",1958,0.400001359990395
"60",1959,0.400001359990395
"61",1960,0.400001359990395
"62",1961,0.400001359990395
"63",1962,0.400001359990395
"64",1963,0.400001359990395
"65",1964,0.400001359990395
"66",1965,0.400001359990395
"67",1966,0.400001359990395
"68",1967,0.400001359990395
"69",1968,0.400001359990395
"70",1969,0.400001359990395
"71",1970,0.400001359990395
"72",1971,0.400001929916244
"73",1972,0.400002738677504
