"","t",""
"1",1900,0.400000000561505
"2",1901,0.400000000561505
"3",1902,0.400000000561505
"4",1903,0.400000000561505
"5",1904,0.400000000561505
"6",1905,0.400000000561505
"7",1906,0.400000000561505
"8",1907,0.400000000561505
"9",1908,0.400000000561505
"10",1909,0.400000000561505
"11",1910,0.400000000561505
"12",1911,0.400000000561505
"13",1912,0.400000000561505
"14",1913,0.400000000561505
"15",1914,0.400000000561505
"16",1915,0.400000000561505
"17",1916,0.400000000561505
"18",1917,0.400000000561505
"19",1918,0.400000000561505
"20",1919,0.400000000561505
"21",1920,0.400000000561505
"22",1921,0.400000000561505
"23",1922,0.400000000561505
"24",1923,0.400000000561505
"25",1924,0.400000000561505
"26",1925,0.400000000561505
"27",1926,0.400000000561505
"28",1927,0.400000000561505
"29",1928,0.400000000561505
"30",1929,0.400000000561505
"31",1930,0.400000000561505
"32",1931,0.400000000561505
"33",1932,0.400000000561505
"34",1933,0.400000000561505
"35",1934,0.400000000561505
"36",1935,0.400000000561505
"37",1936,0.400000000561505
"38",1937,0.400000000561505
"39",1938,0.400000000561505
"40",1939,0.400000000561505
"41",1940,0.400000000561505
"42",1941,0.400000000561505
"43",1942,0.400000000561505
"44",1943,0.400000000561505
"45",1944,0.400000000561505
"46",1945,0.400000000561505
"47",1946,0.400000000561505
"48",1947,0.400000000561505
"49",1948,0.400000000561505
"50",1949,0.400000000561505
"51",1950,0.400000000561505
"52",1951,0.400000000561505
"53",1952,0.400000000561505
"54",1953,0.400000000561505
"55",1954,0.400000000561505
"56",1955,0.400000000561505
"57",1956,0.400000000561505
"58",1957,0.400000000561505
"59",1958,0.400000000561505
"60",1959,0.400000000561505
"61",1960,0.400000000561505
"62",1961,0.400000000561505
"63",1962,0.400000000561505
"64",1963,0.400000000561505
"65",1964,0.400000000561505
"66",1965,0.400000000561505
"67",1966,0.400000000561505
"68",1967,0.400000000561505
"69",1968,0.400000000561505
"70",1969,0.400000000561505
"71",1970,0.400000000561505
"72",1971,0.400000001010418
"73",1972,0.400000001818232
"74",1973,0.400000003271879
"75",1974,0.400000005887695
"76",1975,0.400000010594813
"77",1976,0.400000019065197
"78",1977,0.400000034307517
"79",1978,0.400000061735827
"80",1979,0.400000111092627
"81",1980,0.400000199909378
"82",1981,0.400000359733627
"83",1982,0.400000647334562
"84",1983,0.40000116486703
"85",1984,0.400002096155769
"86",1985,0.400003771986287
"87",1986,0.400006787588324
"88",1987,0.40001221402455
"89",1988,0.400021978513459
"90",1989,0.400039548595155
"91",1990,0.400071162567151
"92",1991,0.400128041337077
"93",1992,0.400230361184513
"94",1993,0.400414378651205
"95",1994,0.400745174048616
"96",1995,0.401339333007075
"97",1996,0.402404958080239
"98",1997,0.404311105624467
"99",1998,0.407704655267153
"100",1999,0.413695680558122
"101",2000,0.424117021472063
"102",2001,0.441786798987655
"103",2002,0.470485159829809
"104",2003,0.513989863277567
"105",2004,0.573499801177074
"106",2005,0.644406670526573
"107",2006,0.716225475780026
"108",2007,0.777942137716102
"109",2008,0.823919132796827
"110",2009,0.854655285456278
"111",2010,0.873743336732475
"112",2011,0.885060224371399
"113",2012,0.891586049486103
"114",2013,0.895289021769219
"115",2014,0.897371034559384
"116",2015,0.898535624087158
"117",2016,0.899185164313784
"118",2017,0.899546855625613
"119",2018,0.899748079512055
"120",2019,0.899859972702209
"121",2020,0.899922175069783
"122",2021,0.899956748540651
"123",2022,0.899975963598566
"124",2023,0.89998664232981
"125",2024,0.899992576856385
"126",2025,0.899995874821749
"127",2026,0.899997707568839
"128",2027,0.899998726059397
"129",2028,0.899999292051504
"130",2029,0.89999960658227
"131",2030,0.899999781371854
"132",2031,0.899999878505072
"133",2032,0.899999932483459
"134",2033,0.899999962480054
"135",2034,0.899999979149609
"136",2035,0.899999988413128
"137",2036,0.899999993561003
"138",2037,0.899999996421754
"139",2038,0.899999998011516
"140",2039,0.89999999889497
"141",2040,0.899999999385918
"142",2041,0.899999999658746
"143",2042,0.89999999981036
"144",2043,0.899999999894614
"145",2044,0.899999999941436
"146",2045,0.899999999967455
"147",2046,0.899999999981914
"148",2047,0.89999999998995
"149",2048,0.899999999994415
"150",2049,0.899999999996896
"151",2050,0.899999999998275
"152",2051,0.899999999996896
"153",2052,0.899999999996896
"154",2053,0.899999999996896
"155",2054,0.899999999996896
"156",2055,0.899999999996896
"157",2056,0.899999999996896
"158",2057,0.899999999996896
"159",2058,0.899999999996896
"160",2059,0.899999999996896
"161",2060,0.899999999996896
"162",2061,0.899999999996896
"163",2062,0.899999999996896
"164",2063,0.899999999996896
"165",2064,0.899999999996896
"166",2065,0.899999999996896
"167",2066,0.899999999996896
"168",2067,0.899999999996896
"169",2068,0.899999999996896
"170",2069,0.899999999996896
"171",2070,0.899999999996896
"172",2071,0.899999999996896
"173",2072,0.899999999996896
"174",2073,0.899999999996896
"175",2074,0.899999999996896
"176",2075,0.899999999996896
"177",2076,0.899999999996896
"178",2077,0.899999999996896
"179",2078,0.899999999996896
"180",2079,0.899999999996896
"181",2080,0.899999999996896
"182",2081,0.899999999996896
"183",2082,0.899999999996896
"184",2083,0.899999999996896
"185",2084,0.899999999996896
"186",2085,0.899999999996896
"187",2086,0.899999999996896
"188",2087,0.899999999996896
"189",2088,0.899999999996896
"190",2089,0.899999999996896
"191",2090,0.899999999996896
"192",2091,0.899999999996896
"193",2092,0.899999999996896
"194",2093,0.899999999996896
"195",2094,0.899999999996896
"196",2095,0.899999999996896
"197",2096,0.899999999996896
"198",2097,0.899999999996896
"199",2098,0.899999999996896
"200",2099,0.899999999996896
