"","t",""
"1",1900,0.400000000169413
"2",1901,0.400000000169413
"3",1902,0.400000000169413
"4",1903,0.400000000169413
"5",1904,0.400000000169413
"6",1905,0.400000000169413
"7",1906,0.400000000169413
"8",1907,0.400000000169413
"9",1908,0.400000000169413
"10",1909,0.400000000169413
"11",1910,0.400000000169413
"12",1911,0.400000000169413
"13",1912,0.400000000169413
"14",1913,0.400000000169413
"15",1914,0.400000000169413
"16",1915,0.400000000169413
"17",1916,0.400000000169413
"18",1917,0.400000000169413
"19",1918,0.400000000169413
"20",1919,0.400000000169413
"21",1920,0.400000000169413
"22",1921,0.400000000169413
"23",1922,0.400000000169413
"24",1923,0.400000000169413
"25",1924,0.400000000169413
"26",1925,0.400000000169413
"27",1926,0.400000000169413
"28",1927,0.400000000169413
"29",1928,0.400000000169413
"30",1929,0.400000000169413
"31",1930,0.400000000169413
"32",1931,0.400000000169413
"33",1932,0.400000000169413
"34",1933,0.400000000169413
"35",1934,0.400000000169413
"36",1935,0.400000000169413
"37",1936,0.400000000169413
"38",1937,0.400000000169413
"39",1938,0.400000000169413
"40",1939,0.400000000169413
"41",1940,0.400000000169413
"42",1941,0.400000000169413
"43",1942,0.400000000169413
"44",1943,0.400000000169413
"45",1944,0.400000000169413
"46",1945,0.400000000169413
"47",1946,0.400000000169413
"48",1947,0.400000000169413
"49",1948,0.400000000169413
"50",1949,0.400000000169413
"51",1950,0.400000000169413
"52",1951,0.400000000169413
"53",1952,0.400000000169413
"54",1953,0.400000000169413
"55",1954,0.400000000169413
"56",1955,0.400000000169413
"57",1956,0.400000000169413
"58",1957,0.400000000169413
"59",1958,0.400000000169413
"60",1959,0.400000000169413
"61",1960,0.400000000169413
"62",1961,0.400000000169413
"63",1962,0.400000000169413
"64",1963,0.400000000169413
"65",1964,0.400000000169413
"66",1965,0.400000000169413
"67",1966,0.400000000169413
"68",1967,0.400000000169413
"69",1968,0.400000000169413
"70",1969,0.400000000169413
"71",1970,0.400000000169413
"72",1971,0.400000000316506
"73",1972,0.40000000059131
"74",1973,0.400000001104713
"75",1974,0.400000002063875
"76",1975,0.400000003855826
"77",1976,0.400000007203631
"78",1977,0.400000013458155
"79",1978,0.400000025143143
"80",1979,0.400000046973573
"81",1980,0.40000008775818
"82",1981,0.400000163953839
"83",1982,0.400000306306005
"84",1983,0.400000572254633
"85",1984,0.400001069111281
"86",1985,0.400001997358907
"87",1986,0.400003731544014
"88",1987,0.400006971394239
"89",1988,0.400013024112341
"90",1989,0.400024331663192
"91",1990,0.40004545550002
"92",1991,0.400084914964864
"93",1992,0.4001586173017
"94",1993,0.400296249826723
"95",1994,0.40055316655528
"96",1995,0.401032402273701
"97",1996,0.401925130966822
"98",1997,0.403583945893266
"99",1998,0.406651905984582
"100",1999,0.412277398773161
"101",2000,0.42243138235591
"102",2001,0.440249110664379
"103",2002,0.470019110502509
"104",2003,0.515907012898038
"105",2004,0.578535550826269
"106",2005,0.651182619162148
"107",2006,0.721123566959424
"108",2007,0.777366996203499
"109",2008,0.816404394537743
"110",2009,0.840812662433281
"111",2010,0.855091278581815
"112",2011,0.863120849522694
"113",2012,0.86753630095378
"114",2013,0.869934493513697
"115",2014,0.871228290153986
"116",2015,0.871923741048505
"117",2016,0.872296833186177
"118",2017,0.872496777505997
"119",2018,0.872603869562703
"120",2019,0.872661211758753
"121",2020,0.872691910542311
"122",2021,0.872708344055587
"123",2022,0.872717140750882
"124",2023,0.872721849417096
"125",2024,0.872724369823043
"126",2025,0.872725718910173
"127",2026,0.872726441027642
"128",2027,0.872726827550176
"129",2028,0.87272703444104
"130",2029,0.872727145181813
"131",2030,0.872727204457099
"132",2031,0.87272723618488
"133",2032,0.872727253167539
"134",2033,0.872727262257701
"135",2034,0.872727267123315
"136",2035,0.87272726972769
"137",2036,0.872727271121712
"138",2037,0.872727271867878
"139",2038,0.872727272267272
"140",2039,0.872727272481052
"141",2040,0.87272727259548
"142",2041,0.872727272656729
"143",2042,0.872727272689514
"144",2043,0.872727272707062
"145",2044,0.872727272716455
"146",2045,0.872727272721482
"147",2046,0.872727272724173
"148",2047,0.872727272725614
"149",2048,0.872727272726385
"150",2049,0.872727272726797
"151",2050,0.872727272727018
"152",2051,0.872727272726797
"153",2052,0.872727272726797
"154",2053,0.872727272726797
"155",2054,0.872727272726797
"156",2055,0.872727272726797
"157",2056,0.872727272726797
"158",2057,0.872727272726797
"159",2058,0.872727272726797
"160",2059,0.872727272726797
"161",2060,0.872727272726797
"162",2061,0.872727272726797
"163",2062,0.872727272726797
"164",2063,0.872727272726797
"165",2064,0.872727272726797
"166",2065,0.872727272726797
"167",2066,0.872727272726797
"168",2067,0.872727272726797
"169",2068,0.872727272726797
"170",2069,0.872727272726797
"171",2070,0.872727272726797
"172",2071,0.872727272726797
"173",2072,0.872727272726797
"174",2073,0.872727272726797
"175",2074,0.872727272726797
"176",2075,0.872727272726797
"177",2076,0.872727272726797
"178",2077,0.872727272726797
"179",2078,0.872727272726797
"180",2079,0.872727272726797
"181",2080,0.872727272726797
"182",2081,0.872727272726797
"183",2082,0.872727272726797
"184",2083,0.872727272726797
"185",2084,0.872727272726797
"186",2085,0.872727272726797
"187",2086,0.872727272726797
"188",2087,0.872727272726797
"189",2088,0.872727272726797
"190",2089,0.872727272726797
"191",2090,0.872727272726797
"192",2091,0.872727272726797
"193",2092,0.872727272726797
"194",2093,0.872727272726797
"195",2094,0.872727272726797
"196",2095,0.872727272726797
"197",2096,0.872727272726797
"198",2097,0.872727272726797
"199",2098,0.872727272726797
"200",2099,0.872727272726797
