"","t",""
"1",1900,0.400000010884346
"2",1901,0.400000010884346
"3",1902,0.400000010884346
"4",1903,0.400000010884346
"5",1904,0.400000010884346
"6",1905,0.400000010884346
"7",1906,0.400000010884346
"8",1907,0.400000010884346
"9",1908,0.400000010884346
"10",1909,0.400000010884346
"11",1910,0.400000010884346
"12",1911,0.400000010884346
"13",1912,0.400000010884346
"14",1913,0.400000010884346
"15",1914,0.400000010884346
"16",1915,0.400000010884346
"17",1916,0.400000010884346
"18",1917,0.400000010884346
"19",1918,0.400000010884346
"20",1919,0.400000010884346
"21",1920,0.400000010884346
"22",1921,0.400000010884346
"23",1922,0.400000010884346
"24",1923,0.400000010884346
"25",1924,0.400000010884346
"26",1925,0.400000010884346
"27",1926,0.400000010884346
"28",1927,0.400000010884346
"29",1928,0.400000010884346
"30",1929,0.400000010884346
"31",1930,0.400000010884346
"32",1931,0.400000010884346
"33",1932,0.400000010884346
"34",1933,0.400000010884346
"35",1934,0.400000010884346
"36",1935,0.400000010884346
"37",1936,0.400000010884346
"38",1937,0.400000010884346
"39",1938,0.400000010884346
"40",1939,0.400000010884346
"41",1940,0.400000010884346
"42",1941,0.400000010884346
"43",1942,0.400000010884346
"44",1943,0.400000010884346
"45",1944,0.400000010884346
"46",1945,0.400000010884346
"47",1946,0.400000010884346
"48",1947,0.400000010884346
"49",1948,0.400000010884346
"50",1949,0.400000010884346
"51",1950,0.400000010884346
"52",1951,0.400000010884346
"53",1952,0.400000010884346
"54",1953,0.400000010884346
"55",1954,0.400000010884346
"56",1955,0.400000010884346
"57",1956,0.400000010884346
"58",1957,0.400000010884346
"59",1958,0.400000010884346
"60",1959,0.400000010884346
"61",1960,0.400000010884346
"62",1961,0.400000010884346
"63",1962,0.400000010884346
"64",1963,0.400000010884346
"65",1964,0.400000010884346
"66",1965,0.400000010884346
"67",1966,0.400000010884346
"68",1967,0.400000010884346
"69",1968,0.400000010884346
"70",1969,0.400000010884346
"71",1970,0.400000010884346
"72",1971,0.400000017945252
"73",1972,0.400000029586718
"74",1973,0.400000048780249
"75",1974,0.40000008042503
"76",1975,0.400000132598445
"77",1976,0.400000218617841
"78",1977,0.40000036043979
"79",1978,0.400000594264492
"80",1979,0.400000979775809
"81",1980,0.400001615375315
"82",1981,0.400002663298474
"83",1982,0.400004391022795
"84",1983,0.400007239534492
"85",1984,0.4000119358707
"86",1985,0.400019678641735
"87",1986,0.400032443828214
"88",1987,0.400053488744905
"89",1988,0.400088182365051
"90",1989,0.400145372740664
"91",1990,0.400239637279108
"92",1991,0.400394981370179
"93",1992,0.400650905328571
"94",1993,0.401072322951276
"95",1994,0.40176568706574
"96",1995,0.402904963863063
"97",1996,0.404772819351242
"98",1997,0.407824186790342
"99",1998,0.412779779967301
"100",1999,0.420751698274569
"101",2000,0.433381571915943
"102",2001,0.452914889699295
"103",2002,0.482027533219239
"104",2003,0.523109052339772
"105",2004,0.576821451903156
"106",2005,0.640452010959229
"107",2006,0.707587514066527
"108",2007,0.770295878150138
"109",2008,0.82254548042422
"110",2009,0.86209270225535
"111",2010,0.889902982251924
"112",2011,0.90846344262309
"113",2012,0.920422233241282
"114",2013,0.927953639511903
"115",2014,0.932628812103279
"116",2015,0.935505005958784
"117",2016,0.937264689435671
"118",2017,0.938337637063833
"119",2018,0.938990503132677
"120",2019,0.939387258486777
"121",2020,0.939628187481791
"122",2021,0.939774423194762
"123",2022,0.939863158259395
"124",2023,0.939916993012225
"125",2024,0.939949650671676
"126",2025,0.939969460468275
"127",2026,0.939981476425479
"128",2027,0.939988764732482
"129",2028,0.939993185409992
"130",2029,0.939995866721703
"131",2030,0.939997493032438
"132",2031,0.939998479444533
"133",2032,0.939999077735468
"134",2033,0.939999440617909
"135",2034,0.939999660717473
"136",2035,0.939999794214694
"137",2036,0.939999875184884
"138",2037,0.939999924295798
"139",2038,0.939999954083078
"140",2039,0.939999972149978
"141",2040,0.939999983108108
"142",2041,0.939999989754549
"143",2042,0.93999999378582
"144",2043,0.939999996230909
"145",2044,0.939999997713931
"146",2045,0.939999998613429
"147",2046,0.939999999159002
"148",2047,0.939999999489909
"149",2048,0.939999999690614
"150",2049,0.939999999812348
"151",2050,0.939999999886183
"152",2051,0.939999999812348
"153",2052,0.939999999812348
"154",2053,0.939999999812348
"155",2054,0.939999999812348
"156",2055,0.939999999812348
"157",2056,0.939999999812348
"158",2057,0.939999999812348
"159",2058,0.939999999812348
"160",2059,0.939999999812348
"161",2060,0.939999999812348
"162",2061,0.939999999812348
"163",2062,0.939999999812348
"164",2063,0.939999999812348
"165",2064,0.939999999812348
"166",2065,0.939999999812348
"167",2066,0.939999999812348
"168",2067,0.939999999812348
"169",2068,0.939999999812348
"170",2069,0.939999999812348
"171",2070,0.939999999812348
"172",2071,0.939999999812348
"173",2072,0.939999999812348
"174",2073,0.939999999812348
"175",2074,0.939999999812348
"176",2075,0.939999999812348
"177",2076,0.939999999812348
"178",2077,0.939999999812348
"179",2078,0.939999999812348
"180",2079,0.939999999812348
"181",2080,0.939999999812348
"182",2081,0.939999999812348
"183",2082,0.939999999812348
"184",2083,0.939999999812348
"185",2084,0.939999999812348
"186",2085,0.939999999812348
"187",2086,0.939999999812348
"188",2087,0.939999999812348
"189",2088,0.939999999812348
"190",2089,0.939999999812348
"191",2090,0.939999999812348
"192",2091,0.939999999812348
"193",2092,0.939999999812348
"194",2093,0.939999999812348
"195",2094,0.939999999812348
"196",2095,0.939999999812348
"197",2096,0.939999999812348
"198",2097,0.939999999812348
"199",2098,0.939999999812348
"200",2099,0.939999999812348
