"","t",""
"1",1900,0.400000000002528
"2",1901,0.400000000002528
"3",1902,0.400000000002528
"4",1903,0.400000000002528
"5",1904,0.400000000002528
"6",1905,0.400000000002528
"7",1906,0.400000000002528
"8",1907,0.400000000002528
"9",1908,0.400000000002528
"10",1909,0.400000000002528
"11",1910,0.400000000002528
"12",1911,0.400000000002528
"13",1912,0.400000000002528
"14",1913,0.400000000002528
"15",1914,0.400000000002528
"16",1915,0.400000000002528
"17",1916,0.400000000002528
"18",1917,0.400000000002528
"19",1918,0.400000000002528
"20",1919,0.400000000002528
"21",1920,0.400000000002528
"22",1921,0.400000000002528
"23",1922,0.400000000002528
"24",1923,0.400000000002528
"25",1924,0.400000000002528
"26",1925,0.400000000002528
"27",1926,0.400000000002528
"28",1927,0.400000000002528
"29",1928,0.400000000002528
"30",1929,0.400000000002528
"31",1930,0.400000000002528
"32",1931,0.400000000002528
"33",1932,0.400000000002528
"34",1933,0.400000000002528
"35",1934,0.400000000002528
"36",1935,0.400000000002528
"37",1936,0.400000000002528
"38",1937,0.400000000002528
"39",1938,0.400000000002528
"40",1939,0.400000000002528
"41",1940,0.400000000002528
"42",1941,0.400000000002528
"43",1942,0.400000000002528
"44",1943,0.400000000002528
"45",1944,0.400000000002528
"46",1945,0.400000000002528
"47",1946,0.400000000002528
"48",1947,0.400000000002528
"49",1948,0.400000000002528
"50",1949,0.400000000002528
"51",1950,0.400000000002528
"52",1951,0.400000000002528
"53",1952,0.400000000002528
"54",1953,0.400000000002528
"55",1954,0.400000000002528
"56",1955,0.400000000002528
"57",1956,0.400000000002528
"58",1957,0.400000000002528
"59",1958,0.400000000002528
"60",1959,0.400000000002528
"61",1960,0.400000000002528
"62",1961,0.400000000002528
"63",1962,0.400000000002528
"64",1963,0.400000000002528
"65",1964,0.400000000002528
"66",1965,0.400000000002528
"67",1966,0.400000000002528
"68",1967,0.400000000002528
"69",1968,0.400000000002528
"70",1969,0.400000000002528
"71",1970,0.400000000002528
"72",1971,0.400000000005351
"73",1972,0.400000000011328
"74",1973,0.400000000023982
"75",1974,0.40000000005077
"76",1975,0.400000000107479
"77",1976,0.400000000227534
"78",1977,0.400000000481689
"79",1978,0.400000001019735
"80",1979,0.400000002158779
"81",1980,0.400000004570134
"82",1981,0.400000009674974
"83",1982,0.400000020481919
"84",1983,0.400000043360222
"85",1984,0.400000091793581
"86",1985,0.40000019432697
"87",1986,0.400000411390013
"88",1987,0.40000087091183
"89",1988,0.400001843716622
"90",1989,0.400003903131373
"91",1990,0.40000826285413
"92",1991,0.400017492125987
"93",1992,0.400037029323702
"94",1993,0.40007838432449
"95",1994,0.400165909353244
"96",1995,0.40035109455127
"97",1996,0.400742660397801
"98",1997,0.401569499613991
"99",1998,0.403310539438827
"100",1999,0.406954832702526
"101",2000,0.414488885927344
"102",2001,0.429672508369727
"103",2002,0.458759344432961
"104",2003,0.509430268746464
"105",2004,0.584643733834945
"106",2005,0.673411123614691
"107",2006,0.753742511237915
"108",2007,0.810749068671422
"109",2008,0.84459287470738
"110",2009,0.862597540658917
"111",2010,0.871619343202781
"112",2011,0.876004449741141
"113",2012,0.878104309723713
"114",2013,0.879102669451268
"115",2014,0.879575712554073
"116",2015,0.879799487284233
"117",2016,0.879905263618745
"118",2017,0.87995524504149
"119",2018,0.879978858214433
"120",2019,0.879990013095539
"121",2020,0.879995282468578
"122",2021,0.879997771584389
"123",2022,0.879998947368421
"124",2023,0.879999502771475
"125",2024,0.879999765125747
"126",2025,0.87999988905323
"127",2026,0.87999994759245
"128",2027,0.879999975244425
"129",2028,0.879999988306294
"130",2029,0.879999994476284
"131",2030,0.879999997390781
"132",2031,0.879999998767492
"133",2032,0.879999999417805
"134",2033,0.87999999972499
"135",2034,0.879999999870095
"136",2035,0.879999999938637
"137",2036,0.879999999971014
"138",2037,0.879999999986308
"139",2038,0.879999999993532
"140",2039,0.879999999996945
"141",2040,0.879999999998557
"142",2041,0.879999999999318
"143",2042,0.879999999999678
"144",2043,0.879999999999848
"145",2044,0.879999999999928
"146",2045,0.879999999999966
"147",2046,0.879999999999984
"148",2047,0.879999999999992
"149",2048,0.879999999999996
