"","t",""
"1",1900,0.400000306306023
"2",1901,0.400000306306023
"3",1902,0.400000306306023
"4",1903,0.400000306306023
"5",1904,0.400000306306023
"6",1905,0.400000306306023
"7",1906,0.400000306306023
"8",1907,0.400000306306023
"9",1908,0.400000306306023
"10",1909,0.400000306306023
"11",1910,0.400000306306023
"12",1911,0.400000306306023
"13",1912,0.400000306306023
"14",1913,0.400000306306023
"15",1914,0.400000306306023
"16",1915,0.400000306306023
"17",1916,0.400000306306023
"18",1917,0.400000306306023
"19",1918,0.400000306306023
"20",1919,0.400000306306023
"21",1920,0.400000306306023
"22",1921,0.400000306306023
"23",1922,0.400000306306023
"24",1923,0.400000306306023
"25",1924,0.400000306306023
"26",1925,0.400000306306023
"27",1926,0.400000306306023
"28",1927,0.400000306306023
"29",1928,0.400000306306023
"30",1929,0.400000306306023
"31",1930,0.400000306306023
"32",1931,0.400000306306023
"33",1932,0.400000306306023
"34",1933,0.400000306306023
"35",1934,0.400000306306023
"36",1935,0.400000306306023
"37",1936,0.400000306306023
"38",1937,0.400000306306023
"39",1938,0.400000306306023
"40",1939,0.400000306306023
"41",1940,0.400000306306023
"42",1941,0.400000306306023
"43",1942,0.400000306306023
"44",1943,0.400000306306023
"45",1944,0.400000306306023
"46",1945,0.400000306306023
"47",1946,0.400000306306023
"48",1947,0.400000306306023
"49",1948,0.400000306306023
"50",1949,0.400000306306023
"51",1950,0.400000306306023
"52",1951,0.400000306306023
"53",1952,0.400000306306023
"54",1953,0.400000306306023
"55",1954,0.400000306306023
"56",1955,0.400000306306023
"57",1956,0.400000306306023
"58",1957,0.400000306306023
"59",1958,0.400000306306023
"60",1959,0.400000306306023
"61",1960,0.400000306306023
"62",1961,0.400000306306023
"63",1962,0.400000306306023
"64",1963,0.400000306306023
"65",1964,0.400000306306023
"66",1965,0.400000306306023
"67",1966,0.400000306306023
"68",1967,0.400000306306023
"69",1968,0.400000306306023
"70",1969,0.400000306306023
"71",1970,0.400000306306023
"72",1971,0.400000474415895
"73",1972,0.400000734789345
"74",1973,0.400001138063118
"75",1974,0.400001762664521
"76",1975,0.400002730063137
"77",1976,0.400004228392321
"78",1977,0.400006549032913
"79",1978,0.400010143270492
"80",1979,0.400015710036479
"81",1980,0.400024331777044
"82",1981,0.400037684825729
"83",1982,0.400058365078465
"84",1983,0.400090392033668
"85",1984,0.400139988565084
"86",1985,0.400216786500873
"87",1986,0.400335688693377
"88",1987,0.400519740674964
"89",1988,0.400804548764285
"90",1989,0.401245052260169
"91",1990,0.401925843947941
"92",1991,0.402976754850668
"93",1992,0.404596048264159
"94",1993,0.407084134614756
"95",1994,0.410890693709087
"96",1995,0.416676152271525
"97",1996,0.425381791932157
"98",1997,0.438286431941978
"99",1998,0.456996025333219
"100",1999,0.483268091524003
"101",2000,0.518549457808669
"102",2001,0.563193824790633
"103",2002,0.615620658508101
"104",2003,0.672048331241417
"105",2004,0.727361039940597
"106",2005,0.776828389125505
"107",2006,0.81756780705323
"108",2007,0.848902030790947
"109",2008,0.871758427353705
"110",2009,0.887794165581181
"111",2010,0.898739762462308
"112",2011,0.906071568222105
"113",2012,0.910920955136346
"114",2013,0.914101635642952
"115",2014,0.916176360964934
"116",2015,0.917524823771635
"117",2016,0.918399206061469
"118",2017,0.918965321069597
"119",2018,0.919331489722085
"120",2019,0.919568180607507
"121",2020,0.91972111438033
"122",2021,0.919819903684168
"123",2022,0.919883706806898
"124",2023,0.919924909520512
"125",2024,0.919951515461614
"126",2025,0.919968694994933
"127",2026,0.919979787538424
"128",2027,0.919986949674217
"129",2028,0.919991574001456
"130",2029,0.919994559735219
"131",2030,0.919996487488039
"132",2031,0.9199977321464
"133",2032,0.919998535761402
"134",2033,0.919999054615564
"135",2034,0.919999389613539
"136",2035,0.919999605904717
"137",2036,0.919999745552893
"138",2037,0.919999835716572
"139",2038,0.919999893930635
"140",2039,0.919999931516466
"141",2040,0.919999955783705
"142",2041,0.919999971451813
"143",2042,0.919999981567905
"144",2043,0.919999988099345
"145",2044,0.91999999231636
"146",2045,0.919999995039069
"147",2046,0.919999996796982
"148",2047,0.919999997931976
"149",2048,0.919999998664784
"150",2049,0.91999999913792
"151",2050,0.919999999443399
"152",2051,0.91999999913792
