"","t",""
"1",1900,0.375000702796882
"2",1901,0.375000702796882
"3",1902,0.375000702796882
"4",1903,0.375000702796882
"5",1904,0.375000702796882
"6",1905,0.375000702796882
"7",1906,0.375000702796882
"8",1907,0.375000702796882
"9",1908,0.375000702796882
"10",1909,0.375000702796882
"11",1910,0.375000702796882
"12",1911,0.375000702796882
"13",1912,0.375000702796882
"14",1913,0.375000702796882
"15",1914,0.375000702796882
"16",1915,0.375000702796882
"17",1916,0.375000702796882
"18",1917,0.375000702796882
"19",1918,0.375000702796882
"20",1919,0.375000702796882
"21",1920,0.375000702796882
"22",1921,0.375000702796882
"23",1922,0.375000702796882
"24",1923,0.375000702796882
"25",1924,0.375000702796882
"26",1925,0.375000702796882
"27",1926,0.375000702796882
"28",1927,0.375000702796882
"29",1928,0.375000702796882
"30",1929,0.375000702796882
"31",1930,0.375000702796882
"32",1931,0.375000702796882
"33",1932,0.375000702796882
"34",1933,0.375000702796882
"35",1934,0.375000702796882
"36",1935,0.375000702796882
"37",1936,0.375000702796882
"38",1937,0.375000702796882
"39",1938,0.375000702796882
"40",1939,0.375000702796882
"41",1940,0.375000702796882
"42",1941,0.375000702796882
"43",1942,0.375000702796882
"44",1943,0.375000702796882
"45",1944,0.375000702796882
"46",1945,0.375000702796882
"47",1946,0.375000702796882
"48",1947,0.375000702796882
"49",1948,0.375000702796882
"50",1949,0.375000702796882
"51",1950,0.375000702796882
"52",1951,0.375000702796882
"53",1952,0.375000702796882
"54",1953,0.375000702796882
"55",1954,0.375000702796882
"56",1955,0.375000702796882
"57",1956,0.375000702796882
"58",1957,0.375000702796882
"59",1958,0.375000702796882
"60",1959,0.375000702796882
"61",1960,0.375000702796882
"62",1961,0.375000702796882
"63",1962,0.375000702796882
"64",1963,0.375000702796882
"65",1964,0.375000702796882
"66",1965,0.375000702796882
"67",1966,0.375000702796882
"68",1967,0.375000702796882
"69",1968,0.375000702796882
"70",1969,0.375000702796882
"71",1970,0.375000702796882
"72",1971,0.375001022562871
"73",1972,0.375001487819015
"74",1973,0.375002164761389
"75",1974,0.375003149703932
"76",1975,0.375004582780954
"77",1976,0.375006667883176
"78",1977,0.375009701662462
"79",1978,0.375014115729078
"80",1979,0.375020538039139
"81",1980,0.37502988219329
"82",1981,0.375043477324219
"83",1982,0.37506325699443
"84",1983,0.37509203385584
"85",1984,0.375133898885548
"86",1985,0.375194801441962
"87",1986,0.375283391489144
"88",1987,0.375412241320975
"89",1988,0.375599615330452
"90",1989,0.375872028479831
"91",1990,0.376267933998583
"92",1991,0.376843015588216
"93",1992,0.377677733515592
"94",1993,0.378887981999949
"95",1994,0.380639925695584
"96",1995,0.383170204650189
"97",1996,0.38681251518635
"98",1997,0.392030641909893
"99",1998,0.399455504917961
"100",1999,0.409918381500026
"101",2000,0.424462627932941
"102",2001,0.444301650164479
"103",2002,0.470676326520604
"104",2003,0.504566718523726
"105",2004,0.546260194309431
"106",2005,0.594892466625303
"107",2006,0.648215223269676
"108",2007,0.70285722039009
"109",2008,0.755104579182057
"110",2009,0.801856693181294
"111",2010,0.841273204124484
"112",2011,0.872870665451787
"113",2012,0.897191654313371
"114",2013,0.915332838042735
"115",2014,0.928549810059777
"116",2015,0.938015017952694
"117",2016,0.944710272150733
"118",2017,0.949404939515094
"119",2018,0.952676652220847
"120",2019,0.954946960540495
"121",2020,0.956517694120898
"122",2021,0.957602185066076
"123",2022,0.95834989248178
"124",2023,0.958864897563068
"125",2024,0.959219382611887
"126",2025,0.959463266071239
"127",2026,0.959631002656106
"128",2027,0.959746342048399
"129",2028,0.959825639967487
"130",2029,0.959880153048807
"131",2030,0.959917625198092
"132",2031,0.959943382188737
"133",2032,0.9599610860076
"134",2033,0.95997325427388
"135",2034,0.959981617686374
"136",2035,0.95998736590878
"137",2036,0.959991316665914
"138",2037,0.959994032009877
"139",2038,0.959995898251287
"140",2039,0.959997180905904
"141",2040,0.959998062463932
"142",2041,0.959998668350854
"143",2042,0.959999084771167
"144",2043,0.959999370972728
"145",2044,0.959999567676155
"146",2045,0.959999702868387
"147",2046,0.959999795784596
"148",2047,0.959999859644927
"149",2048,0.959999903535456
"150",2049,0.959999933700949
"151",2050,0.959999954433372
"152",2051,0.959999933700949
"153",2052,0.959999933700949
"154",2053,0.959999933700949
"155",2054,0.959999933700949
"156",2055,0.959999933700949
"157",2056,0.959999933700949
"158",2057,0.959999933700949
"159",2058,0.959999933700949
"160",2059,0.959999933700949
"161",2060,0.959999933700949
"162",2061,0.959999933700949
"163",2062,0.959999933700949
"164",2063,0.959999933700949
"165",2064,0.959999933700949
"166",2065,0.959999933700949
"167",2066,0.959999933700949
"168",2067,0.959999933700949
"169",2068,0.959999933700949
"170",2069,0.959999933700949
"171",2070,0.959999933700949
"172",2071,0.959999933700949
"173",2072,0.959999933700949
"174",2073,0.959999933700949
"175",2074,0.959999933700949
"176",2075,0.959999933700949
"177",2076,0.959999933700949
"178",2077,0.959999933700949
"179",2078,0.959999933700949
"180",2079,0.959999933700949
"181",2080,0.959999933700949
"182",2081,0.959999933700949
"183",2082,0.959999933700949
"184",2083,0.959999933700949
"185",2084,0.959999933700949
"186",2085,0.959999933700949
"187",2086,0.959999933700949
"188",2087,0.959999933700949
"189",2088,0.959999933700949
"190",2089,0.959999933700949
"191",2090,0.959999933700949
"192",2091,0.959999933700949
"193",2092,0.959999933700949
"194",2093,0.959999933700949
"195",2094,0.959999933700949
"196",2095,0.959999933700949
"197",2096,0.959999933700949
"198",2097,0.959999933700949
"199",2098,0.959999933700949
"200",2099,0.959999933700949
