glf_hash,A,K,v,Q,C,B,M,tstart,tend
"156036f11200cf8b10997822272bde4a","0.4","0.87","0.04","1.05","1","0.0175","1999","1970","2050"
"156036f11200cf8b10997822272bde4a","0.4","0.87","0.04","1.05","1","0.0175","1999","1970","2050"
"968f20ec0eebb6e78f70acd627943b71","0.4","0.87","0.04","1.05","1","0.0175","1998","1970","2050"
"968f20ec0eebb6e78f70acd627943b71","0.4","0.87","0.04","1.05","1","0.0175","1998","1970","2050"
"15f82661a339e1faaa4b3008a60ca901","0.4","0.92","0.04","1.05","1","0.0175","1998","1970","2050"
"e94903f49252c0f1e861b0279def14ac","0.4","0.92","0.04","1.05","1","0.0175","2000","1970","2050"
"7f9f2a56ed523610a598189043723ef1","0.4","0.92","0.04","1.05","1","0.0175","2003","1970","2050"
"5a3c668a2166723fb0d2213392cfb566","0.4","0.92","0.04","1.05","1","0.02","2003","1970","2050"
"d94c259ae07f8889397a3e011e1d8f64","0.4","0.94","0.04","1.05","1","0.02","2003","1970","2050"
"5a3c668a2166723fb0d2213392cfb566","0.4","0.92","0.04","1.05","1","0.02","2003","1970","2050"
"2d389885199b2b3fd77e9ced74008ffa","0.4","0.92","0.04","1.05","1","0.0225","2003","1970","2050"
"6ff8e6a45eb3fa8672e90457d4e5d04c","0.4","0.94","0.04","1.05","1","0.0225","2003","1970","2050"
"be1565be37f66ce93bf0afc641297dc7","0.4","0.9","0.04","1.05","1","0.0235","2003","1970","2050"
"86643c3a0d4fbe19b3fd989414cdac33","0.4","0.9","0.04","1.05","1","0.026","2003","1970","2050"
"e6c5f41e39690e6400a6d3b25ea29b56","0.4","0.88","0.04","1.05","1","0.03","2003","1970","2050"
"96586f32673dc812a0e34a21b7dee5bb","0.4","0.88","0.03","1.05","1","0.03","2003","1970","2050"
"c461a4d4df5a659ca912ac9dfd392e26","0.4","0.92","0.04","1.05","1.1","0.025","2003","1970","2050"
"60c86274cb9218668ac3a5d7b95a8bde","0.4","0.94","0.04","1.05","1.1","0.025","2003","1970","2050"
"bbb9691123c673d8734445651541e6cf","0.4","0.98","0.05","1.05","1.05","0.0175","2004.25","1970","2050"
"9f6cb519cd01efc8f13fc3f27c0ea19b","0.4","0.98","0.05","1.05","1","0.0175","2004.25","1970","2050"
"6928848bf136c35f2e675e745238b8f4","0.375","0.98","0.05","1.05","1","0.0175","2003.75","1970","2050"
"0d1ad78000470652102557b5055b6efd","0.375","0.98","0.05","1.05","1","0.02","2003.75","1970","2050"
"f881f9864c617303ac21c9a32c564c2a","0.375","0.96","0.05","1.05","1","0.01875","2003.75","1970","2050"
