rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
-0.6,-0.883114434,0.22019571,0.112669917,0.000132114,0.005674086,0.013876217,0.018845324,0.271311844,0.150089287,0.188545837,1.099815877,0.010837482,0.005670595,0.274474501,0.747393552,0.700990745,0.000222731,0.440156329,0.734619521,0.102686234,0.002560163,0.152733472,0.727229626,2.335723464,-0.032985036,1267142
-0.6,-0.933426133,0.01720501,0.138325513,0.000106159,0.005913306,0.010985723,0.02883864,0.288544855,0.196213752,0.206793929,1.738551011,0.015156116,0.005260097,0.301563197,0.745069942,0.708293441,0.000231886,0.411643805,0.685014598,0.101785392,0.001529747,0.396072544,0.581419303,1.89710786,0.05115544,1267142
-0.6,-0.921281122,0.355724871,0.11316495,0.00013542,0.005072902,0.014013745,0.022215821,0.267185121,0.164165602,0.184301507,1.12419107,0.015556036,0.005482918,0.276631776,0.723486292,0.678232125,0.000235067,0.423301695,0.723764949,0.108302068,0.001759663,0.299587648,0.598251587,2.162238457,-0.005509404,1267142
-0.6,-0.92758606,0.219262303,0.130654932,0.000140895,0.005869429,0.015917102,0.022200569,0.245247631,0.143779323,0.176363544,1.169835333,0.015825652,0.005040865,0.27866404,0.749960169,0.742397893,0.000212947,0.471614077,0.681199905,0.106277847,0.001448088,0.519742243,0.875952809,2.59985259,-0.010005969,1267142
-0.6,-0.924318711,0.13672598,0.13275058,0.000132352,0.007176671,0.010837374,0.023710222,0.260450481,0.171685631,0.20445344,1.724655507,0.022071847,0.005628026,0.326184184,0.740957052,0.705355713,0.00025797,0.393963216,0.672606121,0.104961275,0.00052906,0.430594675,0.841874909,2.131605388,-0.065258459,1267142
-0.6,-0.91274596,0.212843481,0.144452287,0.000100814,0.006590195,0.011945743,0.029519301,0.278084366,0.18137468,0.229513979,1.861875033,0.017785772,0.00525255,0.301002398,0.738635969,0.729684606,0.000261967,0.364865273,0.67416116,0.10747569,0.000929828,0.334925729,0.609040966,2.141257423,-0.051507149,1267142
-0.6,-0.950495346,0.044742307,0.143504292,0.000105833,0.006244129,0.011870013,0.027551734,0.282318132,0.187049083,0.205646544,1.751903421,0.018486146,0.005007498,0.298824401,0.743073691,0.739316578,0.000240491,0.419621835,0.69951958,0.107474245,0.000696782,0.501604882,0.672131837,2.03308158,0.031507545,1267142
-0.6,-0.907761067,-0.044733644,0.107772841,0.000136091,0.006180347,0.013981962,0.018951333,0.258992558,0.142389428,0.187526453,1.004890126,0.008959799,0.005125042,0.283964191,0.718826748,0.703622312,0.00019722,0.402659276,0.696652859,0.100582376,0.002352048,0.449340375,0.69978575,2.693785821,-0.000391629,1267142
-0.6,-0.937837881,-0.13281587,0.143269841,0.000168102,0.005436529,0.011610522,0.018951023,0.344574854,0.162690397,0.167791495,1.998689266,0.007139964,0.005865773,0.318725448,0.74400271,0.733725768,0.000205282,0.486651689,0.785672089,0.107556845,0.002564598,0.687040316,1.409736209,2.273146995,-0.022519392,1267142
-0.6,-0.905130496,0.398697289,0.12511541,0.000137122,0.008287031,0.010876405,0.018785853,0.244895316,0.169180721,0.199810589,1.718215084,0.01875803,0.005293828,0.323789212,0.732833528,0.706914566,0.000267379,0.392195046,0.660165819,0.102683763,0.001099874,0.522010161,0.554845841,2.256393142,-0.019373306,1267142
-0.6,-0.927412244,0.363988598,0.120693887,0.000135477,0.008351135,0.011031756,0.018679448,0.246172191,0.166343359,0.19995486,1.724620178,0.019645053,0.005323944,0.32314915,0.731426352,0.697674116,0.00026571,0.402355194,0.642197752,0.101160243,0.000696611,0.535240178,0.555348879,2.274287891,-0.020747145,1267142
-0.6,-0.944934512,0.132391155,0.137832151,0.000110679,0.005501878,0.011118054,0.027574955,0.272334002,0.173786557,0.187599857,1.747759317,0.012716394,0.006010412,0.30586555,0.743094513,0.726885131,0.000255987,0.413707502,0.731741163,0.101824747,0.002191554,0.631628192,0.999952632,2.009667294,0.049286884,1267142
-0.6,-0.884498424,0.563284202,0.13365167,0.000112671,0.005940832,0.012426449,0.014045285,0.304409996,0.144605357,0.190948426,1.347450754,0.0066782,0.005733703,0.290265762,0.735814767,0.724202145,0.000227503,0.418701271,0.738023973,0.109951956,0.002156421,0.365510712,0.584205045,2.690659983,-0.060918576,1267142
-0.6,-0.906662405,0.79114028,0.143985892,0.000109613,0.006858765,0.015199129,0.022229754,0.281114723,0.144390616,0.17264751,1.462620217,0.019465536,0.006401202,0.307005359,0.734128552,0.725832207,0.000249339,0.432749338,0.721821063,0.112697953,0.001026906,0.484123569,0.590345123,2.446031446,-0.003168792,1267142
-0.6,-0.930663544,0.683801201,0.147983275,0.000151044,0.005164521,0.016084047,0.019998792,0.270343788,0.173820931,0.176899712,1.534150939,0.006661094,0.005043715,0.291934163,0.739813963,0.736084033,0.000209078,0.484841582,0.614860909,0.101494562,0.003071628,0.385620999,0.880664248,2.117749258,0.029960773,1267142
-0.6,-0.922249124,-0.325087711,0.122336742,0.000108599,0.005491239,0.013860958,0.027996603,0.295538595,0.195959181,0.208332178,1.798132021,0.017644589,0.005027601,0.322218855,0.747054423,0.725379259,0.000249073,0.453393252,0.64286821,0.113494555,0.00057091,0.290591519,0.453265779,1.994975241,-0.061131327,1267142
-0.6,-0.901768462,-0.430807648,0.114111214,0.000111182,0.006137067,0.014772652,0.029433673,0.291310024,0.18334854,0.201909913,1.617046249,0.021270307,0.00574287,0.333062898,0.744543668,0.699322479,0.000233502,0.413170235,0.665472654,0.112262993,0.000248274,0.398448611,0.436264799,2.033598573,-0.101605738,1267142
-0.6,-0.933998565,0.649417896,0.125053899,0.000123448,0.005362776,0.013490697,0.023475731,0.270718304,0.15741449,0.181756475,1.273696057,0.010925504,0.005998638,0.259754462,0.696169334,0.648627429,0.000223753,0.407026373,0.761266844,0.101441114,0.002280337,0.473327455,0.507473453,2.305755887,-0.00158405,1267142
-0.6,-0.922955758,0.632554646,0.123459676,0.000136067,0.006163343,0.017283593,0.017135258,0.221761917,0.157513193,0.183534908,1.7585314,0.011612997,0.005148857,0.259492913,0.745664855,0.739775807,0.000243788,0.482446993,0.63172444,0.107876251,0.002455911,0.272818565,0.814443811,2.358674415,0.007069141,1267142
-0.6,-0.919542594,0.156369198,0.149525066,0.000100426,0.006446323,0.012478889,0.026386128,0.279834207,0.177220384,0.236387888,1.919973231,0.019662436,0.005480324,0.302754239,0.740992033,0.735836415,0.000250734,0.328289198,0.702320098,0.107842936,0.000610359,0.400328113,0.623543788,2.180753407,-0.026761611,1267142
-0.6,-0.94153772,0.89041914,0.140291859,0.000138893,0.005096699,0.016895561,0.021024476,0.25307433,0.173479137,0.18365767,1.951273904,0.01203005,0.005234107,0.259848179,0.739454843,0.732867393,0.000217888,0.493091612,0.641605337,0.104204026,0.00179174,0.537852607,0.874296319,2.292034911,-0.002061438,1267142
-0.6,-0.856536717,0.139595491,0.14228419,0.00013875,0.005621423,0.015740923,0.024342458,0.285457958,0.175356165,0.185920989,1.529803443,0.012156363,0.005646545,0.361930395,0.743650325,0.715140633,0.000243016,0.453292583,0.650794628,0.137103617,0.002055477,0.195062701,0.226708288,2.039720555,-0.087332141,1267142
-0.6,-0.886065119,0.439266836,0.137374694,0.000135196,0.005667586,0.012761246,0.020372129,0.290320376,0.154762925,0.174753055,1.380211719,0.008814252,0.005486656,0.255765342,0.69851306,0.646531345,0.000217907,0.431402773,0.790801355,0.101556554,0.002302819,0.392366735,0.41193629,2.470415291,-0.077671649,1267142
-0.6,-0.943452626,-0.313551768,0.1451894,0.00015015,0.005236386,0.011761479,0.022119599,0.315271288,0.160802208,0.199890008,1.806319449,0.011814894,0.005516202,0.314109539,0.749311396,0.734095652,0.000225765,0.414340008,0.785260103,0.114961378,0.001556617,0.7275275,1.444712703,2.394070006,-0.11387528,1267142
-0.6,-0.851746457,0.154897971,0.144687767,0.000175516,0.00672944,0.009643329,0.017119725,0.231609184,0.168159847,0.19045072,1.842669523,0.009358381,0.005103236,0.254926035,0.718100642,0.66239651,0.000184519,0.407677103,0.767290819,0.110644911,0.003008116,0.172635122,0.225643667,2.200759015,-0.018122634,1267142
-0.6,-0.862834663,0.022752981,0.142244592,0.000156104,0.006964703,0.014200178,0.016223262,0.310371056,0.160868191,0.196077952,1.955809605,0.013422528,0.005148137,0.285261606,0.733140825,0.674929119,0.000201741,0.477581131,0.788965883,0.10029012,0.000716761,0.199786073,0.275724792,2.623023829,-0.035550571,1267142
-0.6,-0.849372985,0.16373387,0.146413037,0.000169536,0.006996771,0.010413772,0.017035722,0.228471319,0.170371091,0.188380271,1.88777739,0.016618236,0.005124059,0.255455867,0.732405154,0.660993791,0.000193267,0.432029146,0.761361839,0.102100438,0.001611549,0.203407115,0.246775292,2.211400428,-0.012993224,1267142
-0.6,-0.944188169,0.020368331,0.14427306,0.000106092,0.00534072,0.012226464,0.021659875,0.274944027,0.167012679,0.177057747,1.844103288,0.006473757,0.006045661,0.305888575,0.727759437,0.716961655,0.000255857,0.443711511,0.707867129,0.102700798,0.002821585,0.666191363,1.008678524,2.141720818,-0.027683072,1267142
