Name,,,,,5c6d1b1546deca088ccf6dcb43e9dd28,,,5c6d1b1546deca088ccf6dcb43e9dd28,,,,,,,,,,,,,,,,,,,,,3d4dd4f5152ee93de7fca118fe7ee3f2,3d4dd4f5152ee93de7fca118fe7ee3f2,ee06a33ef1851f062570d0f6997776a5,,,,,,,,,,,Value,1b49f1d3066af07064994b4772b39986,,Original,Quarterly,ManFit,,Manfit3,MCMC_15,cdr15-manfit,cdr15-manfit-19,,,,2pf,NT,/,a49d81219270ed10ff14ccf5a60f7e46,20pf,/,Begin,MDRFIT
CDRscale,0.930611255045158,0.954375438440566,0.953445028134112,0.953445028134112,0.954351643930847,0.95478167616288,0.954351643930847,0.954351643930847,0.945961349457341,0.945842543536246,0.95478167616288,0.945842543536246,0.940315966477056,0.940315966477056,0.945961349457341,0.945961349457341,0.945842543536246,0.945842543536246,0.937931325112115,0.939563184690465,0.960098213280871,0.960098213280871,0.961445411105364,0.94069820381733,0.94069820381733,0.949700787899237,0.949700787899237,0.949954369384385,0.966552274165024,0.475004937303253,0.978248979168478,0.966552274165024,0.96791091086247,0.984659842815432,0.985340572476971,0.984659842815432,0.98638363661983,0.98638363661983,0.98638363661983,0.980930644855107,0.980930644855107,0.975229013793134,0.972599780648478,,0.440156329,0.440156329,0.999,0.99,0.95,0.987786885386502,0.97,0.97,0.979514460116569,0.97,0.9925,0.970987713069242,0.975229013793134,,,,,,
CDRscaleE,0.278685850585141,0.545298327354557,0.646331568257185,0.646331568257185,0.539620307467962,0.528752365768588,0.539620307467962,0.539620307467962,0.440252291648686,0.440310156683194,0.528752365768588,0.440310156683194,0.449683992031514,0.449683992031514,0.440252291648686,0.440252291648686,0.440310156683194,0.440310156683194,0.443617928256102,0.435225218928841,0.445042136406701,0.445042136406701,0.429284709298106,0.442232960249733,0.442232960249733,0.429259158781895,0.429259158781895,0.673494344760717,0.553956870848496,-0.48596842126362,-0.110943239052314,0.553956870848496,0.548688698914886,0.497185698173284,0.48707521392034,0.497185698173284,0.497097606282612,0.497097606282612,0.497097606282612,0.518981268044659,0.518981268044659,0.613969610664799,0.648083284989886,,-0.032985036,-0.032985036,-0.3,0.2,0.2,0.078847726538256,0.4,0.6,0.412793486600472,0.6,0.49,0.596569680307512,0.613969610664799,,,,,,
chr,0.121223382821775,0.15,0.12,0.137017616513185,0.175,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR_ts,0.778452637686858,0.674362871078774,0.70125,0.722234427861403,0.78,0.704666145839728,0.72,0.729026934568305,0.758603204138112,0.756807160661556,0.704666145839728,0.756807160661556,0.7525,0.758300765539985,0.758603204138112,0.758603204138112,0.756807160661556,0.756807160661556,0.75996432996355,0.760342660562601,0.745,0.748040250001941,0.742272106211167,0.75,0.541033096290194,0.55,0.834493899428287,0.744260786118917,0.75,0.288969903020188,0.799532313132659,0.883195761168897,0.875602773638964,0.763,0.728538619703613,0.745,0.725,0.7575,0.761043464071117,0.78,0.784419692838564,0.5,2.13106269984689,,,,,,,,,,,,,,,,,,,,
DS_neta,0.341511669745668,0.354740737161133,0.38329821603978,0.38329821603978,0.342721023386344,0.379877238958142,0.342721023386344,0.342721023386344,0.331829103281721,0.331575517649762,0.379877238958142,0.331575517649762,0.335,0.327138522469438,0.331829103281721,0.331829103281721,0.331575517649762,0.331575517649762,0.326985389990732,0.328501962232403,0.3366,0.336793094614986,0.337813059657346,0.345,0.346856475680602,0.348725428794046,0.348725428794046,0.457683861338069,0.450617857457605,0.47370505426079,0.470240471884608,0.450617857457605,0.449859227662441,0.460872629115824,0.460780980469194,0.460872629115824,0.460378054048401,0.460378054048401,0.460378054048401,0.446490865357686,0.446490865357686,0.490792951737065,0.478434969675262,,,,,,,,,,,,,,,,,,,,
e,0.679433413509281,0.731312591362016,0.716776217757927,0.716776217757927,0.770576590873504,0.7850957440084,0.770576590873504,0.770576590873504,0.785393632283637,0.785758064320513,0.7850957440084,0.785758064320513,0.784153176911192,0.784153176911192,0.785393632283637,0.785393632283637,0.785758064320513,0.785758064320513,0.786682126373254,0.786055613841132,0.789029920961909,0.789029920961909,0.789481784004919,0.792831249840759,0.792831249840759,0.789565423246675,0.789565423246675,0.712511370390856,0.703288926013202,0.744380150735378,0.499679769296199,0.703288926013202,0.703887191282973,0.718442166854084,0.724133890498817,0.718442166854084,0.721409389604271,0.721409389604271,0.721409389604271,0.715058966217951,0.715058966217951,0.694861655390837,0.702614421642028,,0.112669917,0.112669917,0.112669917,0.112669917,0.112669917,0.08455911998637,0.10898068678449,0.10898068678449,0.109947843544885,0.10898068678449,0.109276864590124,0.109018878837282,0.107297252613239,,,,,,
emp_tx_p,0.214829235887155,0.03374638692243,0.192526775354054,0.192526775354054,0.125,0.01,0.143397745771799,0.143397745771799,0.023145172290969,0.020981217701919,0.089185561346821,0.020981217701919,0.02,0.016394894029013,0.023145172290969,0.023145172290969,0.020981217701919,0.020981217701919,0.03757323388476,0.035263858609833,0.01811627427116,0.01811627427116,0.011396144796163,0.02,0.022731874287128,0.02,0.945401515711566,0.119539001903031,0.01,0.013353621608529,0.071462852578813,0.456935950300657,0.453540678906255,0.50225,0.500284556569532,0.6,0.5,0.483614393454045,0.483614393454045,0.5,0.99708683636738,,,,0.700990745,0.700990745,0.700990745,0.700990745,0.75,0.577667952053248,0.551206182838229,0.551206182838229,0.546762843246569,0.551206182838229,0.563758843349104,0.540385309055018,0.539255134271178,,,,,,
fadult,0.734362906878815,0.740472418405371,0.703022877890872,0.703022877890872,0.74207470500285,0.739665872625096,0.74207470500285,0.74207470500285,0.711118999904973,0.710763815215809,0.739665872625096,0.710763815215809,0.711848018864656,0.711848018864656,0.711118999904973,0.711118999904973,0.710763815215809,0.710763815215809,0.707915324150139,0.717315562627531,0.713743296385996,0.713743296385996,0.712777838218512,0.711975910394007,0.711975910394007,0.708189079135677,0.708189079135677,0.665840144034497,0.684835891579766,0.315780297270976,0.707129232236184,0.684835891579766,0.686808228851784,0.747576294390508,0.746904537296412,0.747576294390508,0.748833337526792,0.748833337526792,0.748833337526792,0.740147874590965,0.740147874590965,0.746954733926129,0.7487694594546,,0.018845324,0.018845324,0.018845324,0.018845324,0.018845324,0.011325388513972,0.015701895324515,0.015701895324515,0.016492046828151,0.015701895324515,0.016549316187973,0.017641003143948,0.017324633016831,,,,,,
fchild,0.058320598486228,0.133645757890216,0.13134642016832,0.13134642016832,0.125558414398602,0.104745728812509,0.125558414398602,0.125558414398602,0.110106216244775,0.110613805704613,0.104745728812509,0.110613805704613,0.109850273372003,0.109850273372003,0.110106216244775,0.110106216244775,0.110613805704613,0.110613805704613,0.109559361357687,0.111214397677782,0.10992569048561,0.10992569048561,0.109633491085705,0.109430665130241,0.109430665130241,0.108002174840521,0.108002174840521,0.095598855031401,0.101218338109742,0.037195579649415,0.087250666483305,0.101218338109742,0.101851249597224,0.10961068155356,0.109484961763679,0.10961068155356,0.110294210031352,0.110294210031352,0.110294210031352,0.115450822330036,0.115450822330036,0.107297252613239,0.106165711342756,,0.271311844,0.271311844,0.271311844,0.271311844,0.36,0.304000633076019,0.341915727777034,0.341915727777034,0.34302484900225,0.341915727777034,0.341414059064537,0.341876644802634,0.34581064814644,,,,,,
felderly,0.56103402086146,0.664560507130196,0.676641477555355,0.676641477555355,0.563711180775932,0.573971099201461,0.563711180775932,0.563711180775932,0.565355358286521,0.563996705883613,0.573971099201461,0.563996705883613,0.564472845254971,0.564472845254971,0.565355358286521,0.565355358286521,0.563996705883613,0.563996705883613,0.55524138997501,0.553231711032672,0.563497014428175,0.563497014428175,0.564012198635621,0.563108563676162,0.563108563676162,0.565311535252316,0.565311535252316,0.632532319752555,0.627426669659409,0.224424939697795,0.687893508097619,0.627426669659409,0.622577093989718,0.577626709438059,0.581996892809439,0.577626709438059,0.57918067081714,0.57918067081714,0.57918067081714,0.570396478672642,0.570396478672642,0.539255134271178,0.549143795003165,,,,,,,,,,,,,,0,,,,,,
