Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2015,76.48,76.26,72.38,72.38,72.38,72.38,67.49,67.49,67.49,67.49,67.49,62.57,62.57,62.57,62.57,62.57,57.67,57.67,57.67,57.67,57.67,52.8,52.8,52.8,52.8,52.8,47.96,47.96,47.96,47.96,47.96,43.14,43.14,43.14,43.14,43.14,38.35,38.35,38.35,38.35,38.35,33.61,33.61,33.61,33.61,33.61,28.94,28.94,28.94,28.94,28.94,24.41,24.41,24.41,24.41,24.41,20.07,20.07,20.07,20.07,20.07,16.08,16.08,16.08,16.08,16.08,12.53,12.53,12.53,12.53,12.53,9.59,9.59,9.59,9.59,9.59,7.27,7.27,7.27,7.27,7.27,5.39,5.39,5.39,5.39,5.39,4.07,4.07,4.07,4.07,4.07,3.16,3.16,3.16,3.16,3.16,2.67,2.67,2.67,2.67
2016,76.48,76.26,72.38,72.38,72.38,72.38,67.49,67.49,67.49,67.49,67.49,62.57,62.57,62.57,62.57,62.57,57.67,57.67,57.67,57.67,57.67,52.8,52.8,52.8,52.8,52.8,47.96,47.96,47.96,47.96,47.96,43.14,43.14,43.14,43.14,43.14,38.35,38.35,38.35,38.35,38.35,33.61,33.61,33.61,33.61,33.61,28.94,28.94,28.94,28.94,28.94,24.41,24.41,24.41,24.41,24.41,20.07,20.07,20.07,20.07,20.07,16.08,16.08,16.08,16.08,16.08,12.53,12.53,12.53,12.53,12.53,9.59,9.59,9.59,9.59,9.59,7.27,7.27,7.27,7.27,7.27,5.39,5.39,5.39,5.39,5.39,4.07,4.07,4.07,4.07,4.07,3.16,3.16,3.16,3.16,3.16,2.67,2.67,2.67,2.67
2017,76.48,76.26,72.38,72.38,72.38,72.38,67.49,67.49,67.49,67.49,67.49,62.57,62.57,62.57,62.57,62.57,57.67,57.67,57.67,57.67,57.67,52.8,52.8,52.8,52.8,52.8,47.96,47.96,47.96,47.96,47.96,43.14,43.14,43.14,43.14,43.14,38.35,38.35,38.35,38.35,38.35,33.61,33.61,33.61,33.61,33.61,28.94,28.94,28.94,28.94,28.94,24.41,24.41,24.41,24.41,24.41,20.07,20.07,20.07,20.07,20.07,16.08,16.08,16.08,16.08,16.08,12.53,12.53,12.53,12.53,12.53,9.59,9.59,9.59,9.59,9.59,7.27,7.27,7.27,7.27,7.27,5.39,5.39,5.39,5.39,5.39,4.07,4.07,4.07,4.07,4.07,3.16,3.16,3.16,3.16,3.16,2.67,2.67,2.67,2.67
2018,76.48,76.26,72.38,72.38,72.38,72.38,67.49,67.49,67.49,67.49,67.49,62.57,62.57,62.57,62.57,62.57,57.67,57.67,57.67,57.67,57.67,52.8,52.8,52.8,52.8,52.8,47.96,47.96,47.96,47.96,47.96,43.14,43.14,43.14,43.14,43.14,38.35,38.35,38.35,38.35,38.35,33.61,33.61,33.61,33.61,33.61,28.94,28.94,28.94,28.94,28.94,24.41,24.41,24.41,24.41,24.41,20.07,20.07,20.07,20.07,20.07,16.08,16.08,16.08,16.08,16.08,12.53,12.53,12.53,12.53,12.53,9.59,9.59,9.59,9.59,9.59,7.27,7.27,7.27,7.27,7.27,5.39,5.39,5.39,5.39,5.39,4.07,4.07,4.07,4.07,4.07,3.16,3.16,3.16,3.16,3.16,2.67,2.67,2.67,2.67
2019,76.48,76.26,72.38,72.38,72.38,72.38,67.49,67.49,67.49,67.49,67.49,62.57,62.57,62.57,62.57,62.57,57.67,57.67,57.67,57.67,57.67,52.8,52.8,52.8,52.8,52.8,47.96,47.96,47.96,47.96,47.96,43.14,43.14,43.14,43.14,43.14,38.35,38.35,38.35,38.35,38.35,33.61,33.61,33.61,33.61,33.61,28.94,28.94,28.94,28.94,28.94,24.41,24.41,24.41,24.41,24.41,20.07,20.07,20.07,20.07,20.07,16.08,16.08,16.08,16.08,16.08,12.53,12.53,12.53,12.53,12.53,9.59,9.59,9.59,9.59,9.59,7.27,7.27,7.27,7.27,7.27,5.39,5.39,5.39,5.39,5.39,4.07,4.07,4.07,4.07,4.07,3.16,3.16,3.16,3.16,3.16,2.67,2.67,2.67,2.67
2020,77.28,76.96,73.07,73.07,73.07,73.07,68.16,68.16,68.16,68.16,68.16,63.23,63.23,63.23,63.23,63.23,58.33,58.33,58.33,58.33,58.33,53.45,53.45,53.45,53.45,53.45,48.6,48.6,48.6,48.6,48.6,43.77,43.77,43.77,43.77,43.77,38.97,38.97,38.97,38.97,38.97,34.21,34.21,34.21,34.21,34.21,29.53,29.53,29.53,29.53,29.53,24.98,24.98,24.98,24.98,24.98,20.61,20.61,20.61,20.61,20.61,16.57,16.57,16.57,16.57,16.57,12.96,12.96,12.96,12.96,12.96,9.94,9.94,9.94,9.94,9.94,7.51,7.51,7.51,7.51,7.51,5.56,5.56,5.56,5.56,5.56,4.18,4.18,4.18,4.18,4.18,3.22,3.22,3.22,3.22,3.22,2.67,2.67,2.67,2.67
2021,77.28,76.96,73.07,73.07,73.07,73.07,68.16,68.16,68.16,68.16,68.16,63.23,63.23,63.23,63.23,63.23,58.33,58.33,58.33,58.33,58.33,53.45,53.45,53.45,53.45,53.45,48.6,48.6,48.6,48.6,48.6,43.77,43.77,43.77,43.77,43.77,38.97,38.97,38.97,38.97,38.97,34.21,34.21,34.21,34.21,34.21,29.53,29.53,29.53,29.53,29.53,24.98,24.98,24.98,24.98,24.98,20.61,20.61,20.61,20.61,20.61,16.57,16.57,16.57,16.57,16.57,12.96,12.96,12.96,12.96,12.96,9.94,9.94,9.94,9.94,9.94,7.51,7.51,7.51,7.51,7.51,5.56,5.56,5.56,5.56,5.56,4.18,4.18,4.18,4.18,4.18,3.22,3.22,3.22,3.22,3.22,2.67,2.67,2.67,2.67
2022,77.28,76.96,73.07,73.07,73.07,73.07,68.16,68.16,68.16,68.16,68.16,63.23,63.23,63.23,63.23,63.23,58.33,58.33,58.33,58.33,58.33,53.45,53.45,53.45,53.45,53.45,48.6,48.6,48.6,48.6,48.6,43.77,43.77,43.77,43.77,43.77,38.97,38.97,38.97,38.97,38.97,34.21,34.21,34.21,34.21,34.21,29.53,29.53,29.53,29.53,29.53,24.98,24.98,24.98,24.98,24.98,20.61,20.61,20.61,20.61,20.61,16.57,16.57,16.57,16.57,16.57,12.96,12.96,12.96,12.96,12.96,9.94,9.94,9.94,9.94,9.94,7.51,7.51,7.51,7.51,7.51,5.56,5.56,5.56,5.56,5.56,4.18,4.18,4.18,4.18,4.18,3.22,3.22,3.22,3.22,3.22,2.67,2.67,2.67,2.67
2023,77.28,76.96,73.07,73.07,73.07,73.07,68.16,68.16,68.16,68.16,68.16,63.23,63.23,63.23,63.23,63.23,58.33,58.33,58.33,58.33,58.33,53.45,53.45,53.45,53.45,53.45,48.6,48.6,48.6,48.6,48.6,43.77,43.77,43.77,43.77,43.77,38.97,38.97,38.97,38.97,38.97,34.21,34.21,34.21,34.21,34.21,29.53,29.53,29.53,29.53,29.53,24.98,24.98,24.98,24.98,24.98,20.61,20.61,20.61,20.61,20.61,16.57,16.57,16.57,16.57,16.57,12.96,12.96,12.96,12.96,12.96,9.94,9.94,9.94,9.94,9.94,7.51,7.51,7.51,7.51,7.51,5.56,5.56,5.56,5.56,5.56,4.18,4.18,4.18,4.18,4.18,3.22,3.22,3.22,3.22,3.22,2.67,2.67,2.67,2.67
2024,77.28,76.96,73.07,73.07,73.07,73.07,68.16,68.16,68.16,68.16,68.16,63.23,63.23,63.23,63.23,63.23,58.33,58.33,58.33,58.33,58.33,53.45,53.45,53.45,53.45,53.45,48.6,48.6,48.6,48.6,48.6,43.77,43.77,43.77,43.77,43.77,38.97,38.97,38.97,38.97,38.97,34.21,34.21,34.21,34.21,34.21,29.53,29.53,29.53,29.53,29.53,24.98,24.98,24.98,24.98,24.98,20.61,20.61,20.61,20.61,20.61,16.57,16.57,16.57,16.57,16.57,12.96,12.96,12.96,12.96,12.96,9.94,9.94,9.94,9.94,9.94,7.51,7.51,7.51,7.51,7.51,5.56,5.56,5.56,5.56,5.56,4.18,4.18,4.18,4.18,4.18,3.22,3.22,3.22,3.22,3.22,2.67,2.67,2.67,2.67
